ano;T1;t1;T2;t2;T3;t3;T4;t4;T5;t5;T6;t6
2008;889;2;889;5;896;0;896;0;896;0;896;0
2009;871;2;871;1;871;0;871;0;871;0;871;0
2010;618;0;618;2;618;0;618;0;618;0;618;0
2011;1188;0;1188;0;1188;0;1188;0;1188;0;1188;0
2012;17543;0;17543;0;17544;0;17544;0;17544;0;759;0
2013;30651;26;30651;17;30666;0;30666;0;30666;0;1085;0
2014;37131;27;37131;0;37133;0;37133;0;37133;0;1083;0
2015;39333;3;39333;0;39333;0;39333;0;39333;0;836;0
2016;40434;0;40434;0;40434;0;40434;0;40434;0;819;0
2017;41601;0;41601;0;41601;0;41601;0;41601;0;916;0
2018;32360;0;32360;0;32360;0;32360;0;32360;0;1150;0
2019;5944;0;6127;0;5944;0;6127;0;5285;0;859;0
