ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2008;43968;43968;43968;43968;43968;43067
2009;42679;42679;42679;42679;42679;41808
2010;30282;30282;30282;30282;30282;29664
2011;58212;58212;58212;58212;58212;57024
2012;867473;867473;867473;867473;867473;849928
2013;1536555;1536555;1536555;1536555;1536555;1505879
2014;1859899;1859899;1859899;1859899;1859899;1822764
2015;1969158;1969158;1969158;1969158;1969158;1929825
2016;2024157;2024157;2024157;1984322;1984322;1964008
2017;2082798;2082798;2082798;2000512;2000512;2000512
2018;1621450;1621450;1621450;1557880;1557880;1557880
2019;308353;308353;308353;296958;296958;295933
