variavel;total;nao.nulo;conformes;acurados
APAC;248771;248771;248771;248771
CBO;248771;248771;248771;248771
CEP;248771;0;0;0
CNES;248771;248771;248771;248771
CNPJ;248771;248771;148563;0
CNS_DIRETOR;248771;0;0;0
CNS_MEDICO;248771;64;64;64
CNS_PASC;248771;0;0;0
CNS_SOLICITANTE;248771;0;0;0
CO_APA_CATEND;248771;248771;248771;248771
CO_CID_PRINCIPAL;248771;11078;11078;11078
CO_CID_SECUNDARIO;248771;11078;11078;11078
CO_CLASSIFICACAO;248771;242844;242844;242844
CO_INST_REGISTRO;248771;242844;242844;242844
CO_MUNICIPIO_ENDERECO;248771;248771;248771;248771
CO_MUNICIPIO_HOSPITAL;248771;248771;248771;248771
CO_PRD_ORG;248771;248771;248771;248771
CO_PRD_RUB;248771;248771;248771;248771
CO_PROCEDIMENTO_PRINCIPAL;248771;248771;248771;248771
CO_PROCEDIMENTO_SECUNDARIO;248771;248771;248771;248771
CO_RUBRICA;248771;240256;240256;240256
CO_SERVICO;248771;242844;242844;242844
COMPETENCIA;248771;248771;248771;248771
COMPLEMENTO_ENDERECO;248771;0;0;0
COMPLEXIDADE;248771;248771;248771;248771
CONDICAO;248771;248771;248771;248771
CPF_DIRETOR;248771;0;0;0
CPF_SOLICITANTE;248771;0;0;0
DATA_FIM;248771;248771;248771;247929
DATA_GERACAO;248771;248771;248771;248588
DATA_INICIO;248771;248771;248771;248771
DATA_OCORR;248771;248771;151893;151893
DATA_SOLIC;248771;248771;248771;248753
DESC_CBO;248771;248771;248771;248771
DT_NASCIMENTO;248771;248771;248771;248771
ENDERECO;248771;0;0;0
GESTOR;248771;248771;248771;248771
ID_PACIENTE;248771;248203;248203;248203
IDADE;248771;248771;248771;248771
MAE;248771;0;0;0
MOVIMENTACAO;248771;248771;248771;248771
NO_CID_PRINCIPAL;248771;11078;11078;11078
NO_CID_SECUNDARIO;248771;0;0;0
NO_FANTASIA;248771;248771;248771;248771
NO_MUNICIPIO_ENDERECO;248771;248771;248771;248771
NO_MUNICIPIO_HOSPITAL;248771;248771;248771;248771
NO_PROCEDIMENTO_PRINCIPAL;248771;248771;248771;248771
NO_PROCEDIMENTO_SECUNDARIO;248771;248771;248771;248771
NOME_DIRETOR;248771;248771;248771;248771
NOME_PASC;248771;0;0;0
NOME_SOLICITANTE;248771;248771;248771;248771
NUM_ENDERECO;248771;0;0;0
NUM_FISCAL;248771;248771;248771;248771
ORGAO_EMISSOR;248771;248771;248771;248771
PRONTUARIO;248771;248771;248771;248771
QT_PROCEDIMENTO;248771;248771;248771;248771
QT_PROCEDIMENTO_APROVADO;248771;248771;248771;248771
RAZAO_SOCIAL;248771;248771;248771;248771
REMESSA;248771;248771;248771;248771
RESPONSAVEL;248771;0;0;0
SEXO;248771;248771;248771;248771
TIPO_APAC;248771;248771;248771;248771
TP_FINANCIAMENTO;248771;248771;248771;248771
UF_ENDERECO;248771;248771;248771;248771
UF_HOSPITAL;248771;248771;248771;248771
VALOR;248771;248771;248771;248771
VALOR_APROVADO;248771;248771;248771;248771
