FILENAME;QNT_LINHAS;QNT_COLUNAS;colunas;ano
SINASC/DNSP1999.parquet;714428;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;1999
SINASC/DNSP1997.parquet;701947;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;1997
SINASC/DNSP1996.parquet;699013;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;1996
SINASC/DNSP1998.parquet;693413;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;1998
SINASC/DNSP2000.parquet;687779;19;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;2000
SINASC/DNSP2015.parquet;634026;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2015
SINASC/DNSP2001.parquet;632483;22;LOCNASC, CODESTAB, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL;2001
SINASC/DNSP2014.parquet;625687;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2014
SINASC/DNSP2002.parquet;623302;25;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, UFINFORM;2002
SINASC/DNSP2005.parquet;618880;25;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, UFINFORM;2005
