ano;APGAR1;APGAR5;CONSULTAS;ESCMAE;ESTCIVMAE;GESTACAO;GRAVIDEZ;IDANOMAL;LOCNASC;MESPRENAT;ORIGEM;QTDFILMORT;QTDFILVIVO;RACACOR;RACACORMAE;SERIESCMAE;SEXO;TPFUNCRESP;TPMETESTIM;TPROBSON;VERSAOSIST
1996;--, ., .., 0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 0Q, 1, 10, 2, 30, 6, 61, 7, 8, 9, 99;;1, 2, 3, 4, 8, 9;1, 2, 3, 4, 5, 6, 7, 8, 9;;1, 2, 3, 4, 5, 6, 8, 9;1, 2, 3, 4, 9;;1, 2, 3, 4, 9;;;;;1, 2, 3, 4, 5;;;0, 1, 2, 9;;;;
1997;+, ., .., 0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 52, 6, 7, 8, 9, 99, <e8>;, +, ., .., 0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 3, 39, 41, 7, 8, 9, 99;1, 2, 3, 4, 8, 9;1, 2, 3, 4, 5, 6, 7, 8, 9;;1, 2, 3, 4, 5, 6, 8, 9;1, 2, 3, 4, 9;;1, 2, 3, 4, 9;;;;;1, 2, 3, 4, 5;;;0, 1, 2, 9;;;;
1998;9, -, 0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 1, 10, 5, 7, 8, 9;-, 0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 4, 5, 6, 8, 9;1, 2, 3, 4, 8, 9;0, 1, 2, 3, 4, 5, 6, 7, 8, 9;2;1, 2, 3, 4, 5, 6, 8, 9;1, 2, 3, 4, 9;;1, 2, 3, 4, 9;;;;;1, 2, 3, 4, 5;;;0, 1, 2;;;;
1999;--, 0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 1, 10, 4, 6, 7, 8, 9;--, 0, 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 2, 4, 8, 9;1, 2, 3, 4, 8, 9;1, 2, 3, 4, 5, 6, 7, 8, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 8, 9;1, 2, 3, 9;1;1, 2, 3, 4, 9;;;;;0, 1, 2, 3, 4, 5;;;0, 1, 2;;;;
2000;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;1, 2, 3, 4, 8, 9;1, 2, 3, 4, 5, 6, 7, 8, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 8, 9;1, 2, 3, 9;1, 2;1, 2, 3, 4, 9;;;;;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2001;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 6, 7, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 17, 18, 20;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2002;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;1, 2, 3, 4, 9;0, 1, 2, 3, 4, 5, 6, 7, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 5, 8, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 99;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2003;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 99;1, 2, 3, 4, 9;0, 1, 2, 3, 4, 5, 6, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 19, 20, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 25, 99;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2004;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 99;1, 2, 3, 4, 5;;;0, 1, 2;;;;
2005;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10;1, 2, 3, 4, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 9;1, 2, 3, 4, 5, 6, 9;1, 2, 3, 9;1, 2, 9;1, 2, 3, 4, 9;;;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 60, 99;00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 99;1, 2, 3, 4, 5;;;0, 1, 2;;;;
