ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2008;214242444;73247020;73247020;73245414;73245414;73137352
2007;211066944;71903804;71903804;71901899;71901899;71734190
2016;208619400;159300762;159300762;154602481;154602481;153900498
2012;212122597;135206703;135206703;132279528;132279528;131680168
2014;217485907;161096076;161096076;155926977;155926977;155280686
1998;229806701;49054356;49054356;40162246;40162246;39694532
2018;214980036;164507730;164507730;159700739;159700739;158232626
2003;221792323;67757007;67757007;58884117;58884117;58594214
2006;214979744;72662261;72662261;72661268;72661268;72514368
2017;213418055;159968766;159968766;155226131;155226131;154483307
2013;211993971;146902158;146902158;142173330;142173330;141559061
2000;234093553;55492121;55492121;49076940;49076940;48728764
2001;227429602;62339663;62339663;53315892;53315892;52888347
2005;221562008;67802181;67802181;58932945;58932945;58714501
2011;212660680;119721068;119721068;116804934;116804934;116377791
1997;220946034;46421246;46421246;37887477;37887477;37337784
2010;208916364;91786988;91786988;90692318;90692318;90577293
2004;220938004;67739776;67739776;58917228;58917228;58667090
2015;220289764;163050044;163050044;157974228;157974228;157151698
1996;215016025;39132215;39132215;31369171;31369171;29128264
2002;223336346;66756385;66756385;57844563;57844563;57428719
1999;237719609;53303992;53303992;45861508;45861508;45120422
2009;210355413;72041654;72041654;72039526;72039526;71926819
