variavel;total;nao.nulo;conformes;acurados
APGAR1;68818788;63604389;63604389;63604389
APGAR5;68818788;63339355;63339355;63339355
CODANOMAL;68818788;396514;355694;355694
CODBAINASC;68818788;6114730;6114730;6015738
CODBAIRES;68818788;13585803;13585803;13584529
CODCART;68818788;670448;670448;661033
CODESTAB;68818788;51055065;51055065;51054948
CODMUNCART;68818788;2904027;2902328;2902328
CODMUNNASC;68818788;68818788;37960703;37960644
CODMUNNATU;68818788;21629050;21629035;21213021
CODMUNRES;68818788;68818788;37960703;37959132
CODOCUPMAE;68818788;44335003;29987999;29987999
CODPAISRES;68818788;17382206;17382206;17382206
CODUFNATU;68818788;17343362;17343362;17343034
CONFPESO;68818788;0;0;0
CONSPRENAT;68818788;18866938;18866938;18866938
CONSULTAS;68818788;67406669;67406669;65698224
DIFDATA;68818788;26297615;26297615;26297615
DTCADASTRO;68818788;37763942;37763942;37416931
DTDECLARAC;68818788;14449444;14449444;14441520
DTNASC;68818788;68818788;68818788;68191383
DTNASCMAE;68818788;21993722;21993722;21993712
DTRECEBIM;68818788;37686654;37686654;37089909
DTRECORIG;68818788;8648584;8648584;8648584
DTRECORIGA;68818788;2856634;2856634;2856634
DTREGCART;68818788;505773;505773;505773
DTULTMENST;68818788;12892329;12892329;12892316
ENDRES;68818788;0;0;0
ESCMAE;68818788;66980507;59495754;57601298
ESCMAE2010;68818788;20110967;19986826;19986826
ESCMAEAGR1;68818788;17354369;17354369;17354369
ESTCIVMAE;68818788;57628015;57628015;56654723
GESTACAO;68818788;67274562;67274562;67274562
GRAVIDEZ;68818788;68060688;68060688;67984126
HORANASC;68818788;37928486;37928486;37928486
IDADEMAE;68818788;68639367;68639367;68639367
IDADEPAI;68818788;10217716;10217716;10217715
IDANOMAL;68818788;51670185;51669527;50604302
KOTELCHUCK;68818788;14723194;14723194;14723194
LOCNASC;68818788;68801820;68801820;68155290
MESPRENAT;68818788;21338632;21335937;20587235
NATURALMAE;68818788;21556597;21556597;21556597
NOVO;68818788;93641;93641;93641
NUMEROLOTE;68818788;26287524;26287524;26287524
NUMREGCART;68818788;473701;473701;473701
ORIGEM;68818788;26308038;26308038;26308038
PARIDADE;68818788;14723194;14723194;14723194
PARTO;68818788;68699230;68699230;68573887
PESO;68818788;68528587;68528587;68528572
QTDFILMORT;68818788;55521607;55521607;55521565
QTDFILVIVO;68818788;61498835;61498835;61498813
QTDGESTANT;68818788;20988704;20988704;20988704
QTDPARTCES;68818788;20320394;20320394;20320394
QTDPARTNOR;68818788;20576010;20576010;20576010
RACACOR;68818788;57543524;57543523;57524210
RACACOR_RN;68818788;1198310;1198310;1198310
RACACORMAE;68818788;21222921;21222921;21203608
RACACORN;68818788;112831;112831;112831
SEMAGESTAC;68818788;21485593;21485593;21485593
SERIESCMAE;68818788;13131579;13131579;13131579
SEXO;68818788;68818788;68818788;68755308
STCESPARTO;68818788;19593020;19593020;18859275
STDNEPIDEM;68818788;26301170;26301170;26301170
STDNNOVA;68818788;26306339;26306339;26306339
STTRABPART;68818788;21587590;21587590;20871793
TPAPRESENT;68818788;21897730;21897730;21559050
TPDOCRESP;68818788;14635245;12883263;12883263
TPFUNCRESP;68818788;13965277;13965236;13965236
TPMETESTIM;68818788;17738781;8010875;6641734
TPNASCASSI;68818788;17487832;17487832;17470448
TPROBSON;68818788;19584241;19579368;19579368
UFINFORM;68818788;23809362;23809362;23809362
VERSAOSIST;68818788;26284653;1774295;1774295
