variavel;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
APGAR1;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
APGAR5;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
CODANOMAL;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
CODBAINASC;0;0;0;0;239530;242360;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;0;0;0;0;0;0;0;0;0
CODBAIRES;0;0;0;0;239530;242360;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;0;0;0;0;0;0;0;0;0
CODCART;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;0;0;0;0;0
CODESTAB;0;0;0;0;239530;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
CODMUNCART;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2904027;0;0;0;0;0
CODMUNNASC;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
CODMUNNATU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
CODMUNRES;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
CODOCUPMAE;2945425;3026658;3148037;2486823;239530;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
CODPAISRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
CODUFNATU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2904027;2979259;3017668;2857800;2923535;2944932
CONFPESO;0;268968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONSPRENAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;0;2979259;3017668;2857800;2923535;2944932
CONSULTAS;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
DIFDATA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
DTCADASTRO;0;0;0;0;0;0;0;0;0;0;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
DTDECLARAC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2979259;3017668;2857800;2923535;2944932
DTNASC;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
DTNASCMAE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
DTRECEBIM;0;0;0;0;0;0;0;0;0;0;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
DTRECORIG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;0;2904027;0;0;0;0;0
DTRECORIGA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2979259;3017668;2857800;2923535;2944932
DTREGCART;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;0;0;0;0;0
DTULTMENST;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
ENDRES;0;268968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESCMAE;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
ESCMAE2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2905789;2904027;2979259;3017668;2857800;2923535;2944932
ESCMAEAGR1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2904027;2979259;3017668;2857800;2923535;2944932
ESTCIVMAE;2945425;3026658;3148037;3256433;3206761;3115474;3059402;3038251;3026548;3035096;2944928;2891328;2934828;2881581;2861868;2913160;2905789;2904027;2979259;3017668;2857800;2923535;2944932
