variavel;total_raw
APGAR1;68818788
APGAR5;68818788
CODANOMAL;68818788
CODBAINASC;24293852
CODBAIRES;24293852
CODCART;11584844
CODESTAB;53475004
CODMUNCART;2904027
CODMUNNASC;68818788
CODMUNNATU;26308038
CODMUNRES;68818788
CODOCUPMAE;65081947
CODPAISRES;26308038
CODUFNATU;17627221
CONFPESO;268968
CONSPRENAT;23404011
CONSULTAS;68818788
DIFDATA;26308038
DTCADASTRO;37960703
DTDECLARAC;14723194
DTNASC;68818788
DTNASCMAE;26308038
DTRECEBIM;37960703
DTRECORIG;8679055
DTRECORIGA;14723194
DTREGCART;11584844
DTULTMENST;26308038
ENDRES;268968
ESCMAE;68818788
ESCMAE2010;20533010
ESCMAEAGR1;17627221
ESTCIVMAE;68818788
GESTACAO;68818788
GRAVIDEZ;68818788
HORANASC;38269068
IDADEMAE;68818788
IDADEPAI;26308038
IDANOMAL;54179988
KOTELCHUCK;14723194
LOCNASC;68818788
MESPRENAT;26308038
NATURALMAE;26308038
NOVO;94828
NUMEROLOTE;26308038
NUMREGCART;11584844
ORIGEM;26308038
PARIDADE;14723194
PARTO;68818788
PESO;68818788
QTDFILMORT;68818788
QTDFILVIVO;68818788
QTDGESTANT;26308038
QTDPARTCES;26308038
QTDPARTNOR;26308038
RACACOR;68818788
RACACOR_RN;2913160
RACACORMAE;26308038
RACACORN;5809816
SEMAGESTAC;26308038
SERIESCMAE;26308038
SEXO;68818788
STCESPARTO;26308038
STDNEPIDEM;26308038
STDNNOVA;26308038
STTRABPART;26308038
TPAPRESENT;26308038
TPDOCRESP;14723194
TPFUNCRESP;14723194
TPMETESTIM;26308038
TPNASCASSI;17627221
TPROBSON;23404011
UFINFORM;24051492
VERSAOSIST;26308038
