variavel;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
APGAR1;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
APGAR5;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
CODANOMAL;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
CODBAINASC;133410;475872;586067;115678;2061453;1094864;360761;419913;716354;1009589;2163861;321811;394893;1163997;496288;1185669;435266;1243879;2027622;403639;215848;77536;1148167;673753;291770;4869861;206031
CODBAIRES;133410;475872;586067;115678;2061453;1094864;360761;419913;716354;1009589;2163861;321811;394893;1163997;496288;1185669;435266;1243879;2027622;403639;215848;77536;1148167;673753;291770;4869861;206031
CODCART;68087;213443;306865;60727;840574;509167;175743;211806;365314;471714;1034168;166832;204442;559914;231064;559505;193949;614656;882755;189560;107103;41098;551244;350739;137277;2439078;98020
CODESTAB;299189;1012264;1357282;269819;4157699;2399829;806341;968280;1667072;2165099;4810121;748367;929533;2563997;1082714;2602773;930024;2815635;4043773;883630;488861;187223;2574701;1596301;638516;11020521;455440
CODMUNCART;17075;52488;79041;15710;203342;124876;44530;54065;94822;115000;258635;42296;53039;139416;56854;141453;46419;155758;224031;46798;27097;10814;141350;89875;34228;610896;24119
CODMUNNASC;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
CODMUNNATU;150880;468587;700963;139532;1860521;1155898;398689;491275;857739;1046983;2347722;386486;487065;1265258;521469;1253000;436170;1404486;2016151;426465;244777;100087;1265944;834451;306904;5518177;222359
CODMUNRES;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
CODOCUPMAE;356433;1275423;1581681;326213;4819838;2935293;948381;1142636;1967416;2477406;5781193;919047;1127895;3016233;1225526;3238064;1097777;3576874;4839574;1113793;613205;220594;3299936;1989305;805630;13829322;557259
CODPAISRES;150880;468587;700963;139532;1860521;1155898;398689;491275;857739;1046983;2347722;386486;487065;1265258;521469;1253000;436170;1404486;2016151;426465;244777;100087;1265944;834451;306904;5518177;222359
CODUFNATU;99868;307632;473139;94515;1223289;771607;267476;333534;587247;690269;1572189;261950;335662;844760;347259;834948;288640;945588;1357427;283703;164771;69803;856050;573587;203855;3689995;148458
CONFPESO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268968;0;0;0;0;0;0;0;0
CONSPRENAT;133805;416099;621922;123822;1657179;1031022;354159;437210;762917;931983;2089087;344190;434026;1125842;464615;1111547;389751;1248728;1792120;379667;217680;89273;1124594;744576;272676;4907281;198240
CONSULTAS;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
DIFDATA;150880;468587;700963;139532;1860521;1155898;398689;491275;857739;1046983;2347722;386486;487065;1265258;521469;1253000;436170;1404486;2016151;426465;244777;100087;1265944;834451;306904;5518177;222359
DTCADASTRO;218397;697050;1000775;198074;2740533;1690067;576044;697053;1205328;1553951;3386962;546125;682240;1860009;763142;1829213;648386;2005947;2883931;621407;345572;139037;1809471;1169238;451508;7917221;324022
DTDECLARAC;82793;255144;394098;78805;1019947;646731;222946;279469;492425;575269;1313554;219654;282623;705344;290405;693495;242221;789830;1133396;236905;137674;58989;714700;483712;169627;3079099;124339
DTNASC;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
DTNASCMAE;150880;468587;700963;139532;1860521;1155898;398689;491275;857739;1046983;2347722;386486;487065;1265258;521469;1253000;436170;1404486;2016151;426465;244777;100087;1265944;834451;306904;5518177;222359
DTRECEBIM;218397;697050;1000775;198074;2740533;1690067;576044;697053;1205328;1553951;3386962;546125;682240;1860009;763142;1829213;648386;2005947;2883931;621407;345572;139037;1809471;1169238;451508;7917221;324022
DTRECORIG;51387;160933;229431;45832;630575;382299;132246;158971;272040;355675;773624;124580;153186;422077;174294;418123;145987;460711;659896;142567;80590;30497;412303;261967;103169;1822470;73625
DTRECORIGA;82793;255144;394098;78805;1019947;646731;222946;279469;492425;575269;1313554;219654;282623;705344;290405;693495;242221;789830;1133396;236905;137674;58989;714700;483712;169627;3079099;124339
DTREGCART;68087;213443;306865;60727;840574;509167;175743;211806;365314;471714;1034168;166832;204442;559914;231064;559505;193949;614656;882755;189560;107103;41098;551244;350739;137277;2439078;98020
DTULTMENST;150880;468587;700963;139532;1860521;1155898;398689;491275;857739;1046983;2347722;386486;487065;1265258;521469;1253000;436170;1404486;2016151;426465;244777;100087;1265944;834451;306904;5518177;222359
ENDRES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268968;0;0;0;0;0;0;0;0
ESCMAE;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
ESCMAE2010;116568;360142;550573;109410;1433288;898475;310973;386369;680521;806308;1832733;304202;386918;982597;404029;976330;336602;1099533;1580286;330696;191284;80404;994991;662359;237963;4306603;172853
ESCMAEAGR1;99868;307632;473139;94515;1223289;771607;267476;333534;587247;690269;1572189;261950;335662;844760;347259;834948;288640;945588;1357427;283703;164771;69803;856050;573587;203855;3689995;148458
ESTCIVMAE;371661;1341186;1649327;340451;5062559;3078686;1045721;1261816;2156179;2578217;6082151;959537;1177373;3142573;1337463;3401469;1156392;3756336;5366905;1170237;644512;230338;3476655;2084133;846346;14517101;583464
