ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2008;69993232;69993232;69993232;67649179;67649179;59050550
2009;86303170;86303170;86303170;83490460;83490460;73118737
2010;93083629;93083629;93083629;90132883;90132883;79155051
2011;100233930;100233930;100233930;96935466;96935466;85478633
2012;100097593;100097593;100097593;96497484;96497484;85209894
2013;106330818;106330818;106330818;102524764;102524764;90738311
2014;104025940;104025940;104025940;100284948;100284948;88895686
2015;134334058;134334058;134334058;129831263;129831263;103729048
2016;132372363;132372363;132372363;128018231;128018231;100141956
2017;135573206;135573206;135573206;131116212;131116212;102623140
2018;121441115;121441115;121441115;117419951;117419951;91944832
2019;95108857;95108857;95108857;91979959;91979959;71774365
