variavel;total;nao.nulo;conformes;acurados
CO_CAR_INTERNACAO;16965217;16965217;16965217;16965217
CO_CID_OBITO;16965217;16965217;16965217;8398554
CO_CID_PRINCIPAL;16965217;16965217;16965217;16965217
CO_CID_SECUNDARIO;16965217;16965217;16965217;8898432
CO_CID_SECUNDARIO_1;16965217;7715648;7715648;1049227
CO_CID_SECUNDARIO_2;16965217;7715648;7715648;7871
CO_CID_SECUNDARIO_3;16965217;7715648;7715648;1661
CO_CID_SECUNDARIO_4;16965217;7715648;7715648;242
CO_CID_SECUNDARIO_5;16965217;7715648;7715648;17
CO_CID_SECUNDARIO_6;16965217;7715648;7715648;0
CO_CID_SECUNDARIO_7;16965217;7715648;7715648;0
CO_CID_SECUNDARIO_8;16965217;7715648;7715648;0
CO_CID_SECUNDARIO_9;16965217;7715648;7715648;0
CO_CNES;16965217;16965217;16965217;16965217
CO_FINANCIAMENTO;16965217;16965217;16965217;16964626
CO_IDENT;16965217;16965217;16965217;16965217
CO_MODALIDADE_INTERNACAO;16965217;16965217;16965217;16965217
CO_MOT_SAIDA;16965217;16965217;16965217;16965217
CO_OE_AIH;16965217;16965217;16965217;16965217
CO_OE_GESTOR;16965217;16965217;16965217;16965217
CO_PACIENTE_LOGR_CEP;16965217;0;0;0
CO_PACIENTE_LOGR_UF;16965217;16965217;16965217;16965217
CO_PACIENTE_NACIONALIDADE;16965217;16965217;16965217;16965217
CO_PACIENTE_SEXO;16965217;16965217;18;0
CO_PF_CBO;16965217;16965217;3407702;3407702
CO_PF_EQUIPE;16965217;16965217;16965217;16965217
CO_PROC_SOLICITADO;16965217;16965217;16965217;16965217
CO_PROCEDIMENTO_PRINCIPAL;16965217;16965217;16965217;16965217
CO_RACA;16965217;16965217;8764848;8764848
CO_SEQ;16965217;16965217;16965217;16965217
CO_TIPO_FAEC;16965217;16965217;16965217;130358
COD_ESPECIALIDADE;16965217;16965217;16965217;16965217
COD_PROCEDIMENTO_SECUNDARIO;16965217;16965217;16965217;16965217
COMPLEXIDADE;16965217;16965000;16965000;16965000
DESC_ESPECIALIDADE;16965217;16965217;16965217;16965217
DESC_PROCEDIMENTO_SECUNDARIO;16965217;16965217;16965217;16965217
