variavel;total;nao.nulo;conformes;acurados
CO_CONCENTRACAO_MEDIC;6827601;1049515;1049515;1049515
CO_FORMULA_FARMACEUTICA;6827601;6481982;6481982;6481982
CO_MUNICIPIO_IBGE;6827601;6827601;6827601;6827601
CO_PRINCIPIO_ATIVO_MEDICAM;6827601;6481982;6481982;6481982
CO_PRODUTO;6827601;6822727;6822727;6822727
CO_SEQ_PACIENTE;6827601;6827601;6827601;6827601
CO_TIPO_PRODUTO;6827601;6822727;6822727;6822727
CO_UNIDADE_CONSUMO;6827601;6749361;6749361;6749361
CO_UNIDADE_MEDIDA_ITEM;6827601;6812813;6812813;6812813
CO_UNIDADE_MEDIDA_PRODUTO;6827601;6822727;6822727;6822727
CO_VOLUME_MEDICAMENTO;6827601;1313494;1313494;1313494
DS_CONCENTRACAO_MEDICAMENTO;6827601;1049515;1049515;1049515
DS_FORMA_FARMACEUTICA;6827601;6481982;6481982;6481982
DS_PRINCIPIO_ATIVO_MEDICAMENTO;6827601;6481982;6481982;6481982
DS_PRODUTO;6827601;6822727;6822727;6822727
DS_TIPO_PRODUTO;6827601;6822727;6822727;6822727
DT_ATENDIMENTO;6827601;6827601;6827601;6827601
DT_NASCIMENTO;6827601;6827263;6827263;6827263
DT_RECEITA;6827601;6812388;6812388;6812388
ID_PACIENTE;6827601;6704463;6704463;6704463
NU_CONCENTRACAO_MEDIC;6827601;6359214;6359214;6359214
NU_DIAS_DISPENSAR;6827601;6822727;6822727;6822727
NU_FATOR_CORRECAO;6827601;6783634;6783634;6783634
NU_PRODUTO;6827601;6822727;6822727;6822727
NU_VOLUME_MEDICAMENTO;6827601;1324489;1324489;1323559
QT_DOSE;6827601;6822727;6822727;6822727
QT_DURACAO_TRATAM_DIA;6827601;6822727;6822727;6822727
QT_POSOLOGIA;6827601;6822727;6822727;6822727
QT_SOLICITADO;6827601;6822727;6822727;6822727
SG_TIPO_PRODUTO;6827601;6822727;6822727;6822727
ST_RENAME;6827601;6822727;6822727;6822727
TP_PRODUTO;6827601;6822727;6822727;6822727
TP_SEXO;6827601;6827601;6827601;6827562
VL_ITEM_DISPENSACAO;6827601;6585388;6585388;6585388
