ano;T1;t1;T2;t2;T3;t3;T4;t4;T5;t5;T6;t6;T7;t7
2008;255536;311;255536;32;352029;0;352029;0;352029;0;20993;0;;
2009;277927;211;277927;48;378068;0;378068;0;378068;0;33453;0;;
2010;274439;2891;274439;105;329377;0;329377;0;329377;0;43805;0;;
2011;368051;404;368051;57;393528;10;393528;0;393528;0;51102;0;;
2012;500786;589;500786;43;525854;3;525854;0;525854;0;62051;0;;
2013;568727;491;568721;46;583295;0;583295;0;583295;0;59708;0;;
2014;627380;834;627378;29;641229;0;641229;0;641229;0;69931;0;;
2015;688730;1188;688725;25;702182;0;702182;0;702182;0;72807;0;;
2016;700818;1385;700812;17;714811;2;714811;0;714811;0;72321;0;;
2017;721917;2268;721906;36;736155;0;736155;0;736155;0;75251;0;;
2018;607557;241;607553;28;619509;0;619509;0;619509;0;75071;0;;
2019;414478;370;490743;12;423812;0;501670;0;410018;0;52650;0;;
