variavel;total;nao.nulo;conformes;acurados
APAC;6477746;6477746;6477746;6477746
CBO;6477746;6477746;6477746;6477746
CEP;6477746;0;0;0
CNES;6477746;6477746;6477746;6477746
CNPJ;6477746;6477746;4261763;3287
CNS_DIRETOR;6477746;0;0;0
CNS_MEDICO;6477746;25778;25778;25778
CNS_PASC;6477746;0;0;0
CNS_SOLICITANTE;6477746;0;0;0
CO_APA_CATEND;6477746;6477746;6477746;6477746
CO_CID_PRINCIPAL;6477746;2315113;2315113;2315113
CO_CID_SECUNDARIO;6477746;2315113;2315113;2315113
CO_CLASSIFICACAO;6477746;4920292;4920292;4920292
CO_INST_REGISTRO;6477746;4920292;4920292;4920292
CO_MUNICIPIO_ENDERECO;6477746;6477746;6477746;6477653
CO_MUNICIPIO_HOSPITAL;6477746;6477746;6477746;6477746
CO_PRD_ORG;6477746;6477746;6477746;6477746
CO_PRD_RUB;6477746;6477746;6477746;6477746
CO_PROCEDIMENTO_PRINCIPAL;6477746;6477746;6477746;6477746
CO_PROCEDIMENTO_SECUNDARIO;6477746;6477746;6477746;6477746
CO_RUBRICA;6477746;4755912;4755912;4755912
CO_SERVICO;6477746;4920292;4920292;4920292
COMPETENCIA;6477746;6477746;6477746;6477746
COMPLEMENTO_ENDERECO;6477746;0;0;0
COMPLEXIDADE;6477746;6477746;6477746;6477746
CONDICAO;6477746;6477746;6477746;6477746
CPF_DIRETOR;6477746;0;0;0
CPF_SOLICITANTE;6477746;0;0;0
DATA_FIM;6477746;6477746;6477746;6386094
DATA_GERACAO;6477746;6477746;6477746;6399888
DATA_INICIO;6477746;6477746;6477746;6477746
DATA_OCORR;6477746;6477746;4501144;4501144
DATA_SOLIC;6477746;6477746;6434409;6433173
DESC_CBO;6477746;6477746;6477746;6477746
DT_NASCIMENTO;6477746;6477746;6477746;6477707
ENDERECO;6477746;0;0;0
GESTOR;6477746;6477746;6477746;4729617
ID_PACIENTE;6477746;6364583;6364583;6364583
IDADE;6477746;6477746;6477746;6477746
MAE;6477746;0;0;0
MOVIMENTACAO;6477746;6477746;6477746;6477746
NO_CID_PRINCIPAL;6477746;2315113;2315113;2315113
NO_CID_SECUNDARIO;6477746;640327;640327;640327
NO_FANTASIA;6477746;6477746;6477746;6477746
NO_MUNICIPIO_ENDERECO;6477746;6477746;6477746;6477746
NO_MUNICIPIO_HOSPITAL;6477746;6477746;6477746;6477746
NO_PROCEDIMENTO_PRINCIPAL;6477746;6477746;6477746;6477746
NO_PROCEDIMENTO_SECUNDARIO;6477746;6477746;6477746;6477746
NOME_DIRETOR;6477746;6477746;6477746;6477746
NOME_PASC;6477746;0;0;0
NOME_SOLICITANTE;6477746;6477746;6477746;6477744
NUM_ENDERECO;6477746;0;0;0
NUM_FISCAL;6477746;6477746;6477746;6477745
ORGAO_EMISSOR;6477746;6477746;6477746;6477746
PRONTUARIO;6477746;6477746;6477746;6477703
QT_PROCEDIMENTO;6477746;6477746;6477746;6477746
QT_PROCEDIMENTO_APROVADO;6477746;6477746;6477746;6477746
RAZAO_SOCIAL;6477746;6477746;6477746;6477746
REMESSA;6477746;6477746;6477746;6477746
RESPONSAVEL;6477746;0;0;0
SEXO;6477746;6477746;6477746;6477746
TIPO_APAC;6477746;6477746;6477746;6477746
TP_FINANCIAMENTO;6477746;6477746;6477746;6477746
UF_ENDERECO;6477746;6477746;6477746;6477746
UF_HOSPITAL;6477746;6477746;6477746;6477746
VALOR;6477746;6477746;6477746;6477746
VALOR_APROVADO;6477746;6477746;6477746;6477746
