variavel;dominio;distinct;nchar_min;nchar_max;null;ano;mud_dom;mud_nchar
APAC;;85215;13;13;FALSE;2008;FALSE;FALSE
APAC;;92919;13;13;FALSE;2009;FALSE;FALSE
APAC;;79577;13;13;FALSE;2010;FALSE;FALSE
APAC;;111493;13;13;FALSE;2011;FALSE;FALSE
APAC;;166739;13;13;FALSE;2012;FALSE;FALSE
APAC;;181542;13;13;FALSE;2013;FALSE;FALSE
APAC;;212551;13;13;FALSE;2014;FALSE;FALSE
APAC;;222960;13;13;FALSE;2015;FALSE;FALSE
APAC;;221884;13;13;FALSE;2016;FALSE;FALSE
APAC;;231649;13;13;FALSE;2017;FALSE;FALSE
APAC;;170603;13;13;FALSE;2018;FALSE;FALSE
APAC;;142898;13;13;FALSE;2019;FALSE;FALSE
CBO;;40;6;6;FALSE;2008;FALSE;FALSE
CBO;221105, 223106, 223107, 223115, 223133, 223139, 223142, 223144, 223145, 223147, 223148, 223153, 223154, 223157, 2231F3, 2231F4, 2231F6, 223240, 223405, 223410, 223505, 223620, 223810, 239415, 251510, 251605;26;6;6;FALSE;2009;FALSE;FALSE
CBO;223106, 223107, 223115, 223128, 223133, 223139, 223142, 223144, 223145, 223147, 223148, 223153, 223154, 223157, 2231F4, 223240, 223405, 223410, 223505, 223620, 223810, 223905, 251510, 251605;24;6;6;FALSE;2010;FALSE;FALSE
CBO;;38;6;6;FALSE;2011;FALSE;FALSE
CBO;221105, 223240, 223405, 223410, 223505, 223810, 223905, 225109, 225112, 225120, 225121, 225122, 225125, 225133, 225185, 225203, 225210, 225265, 225275, 225285, 225330, 225335, 251510, 251605;24;6;6;FALSE;2012;FALSE;FALSE
CBO;221105, 221205, 223224, 223240, 223405, 223410, 223415, 223505, 223605, 223810, 223905, 225109, 225120, 225121, 225122, 225125, 225185, 225210, 225235, 225265, 225275, 225285, 225330, 225335, 251605, 324210;26;6;6;FALSE;2013;FALSE;FALSE
CBO;221105, 221205, 223240, 223405, 223415, 223505, 223605, 223810, 223905, 225109, 225120, 225121, 225122, 225125, 225160, 225185, 225210, 225235, 225265, 225270, 225275, 225285, 225330, 225335, 251605, 324210;26;6;6;FALSE;2014;FALSE;FALSE
CBO;221105, 221205, 2231F9, 223240, 223405, 223415, 223505, 223605, 223810, 223905, 225109, 225120, 225121, 225122, 225125, 225160, 225185, 225210, 225225, 225230, 225235, 225265, 225270, 225275, 225285, 225315, 225330, 225335;28;6;6;FALSE;2015;FALSE;FALSE
CBO;221105, 221205, 2231F9, 223405, 223415, 223605, 223810, 223905, 225109, 225120, 225121, 225122, 225125, 225160, 225185, 225210, 225225, 225230, 225265, 225270, 225275, 225285, 225315, 225330, 225335, 251605;26;6;6;FALSE;2016;FALSE;FALSE
CBO;221105, 221205, 2231F9, 223405, 223415, 223605, 223810, 223905, 225109, 225120, 225121, 225122, 225124, 225125, 225160, 225185, 225210, 225225, 225230, 225235, 225255, 225265, 225270, 225275, 225285, 225315, 225330, 225335;28;6;6;FALSE;2017;FALSE;FALSE
CBO;221105, 221205, 223240, 223405, 223415, 223605, 223810, 223905, 225109, 225112, 225120, 225121, 225122, 225125, 225160, 225185, 225210, 225225, 225230, 225235, 225265, 225270, 225275, 225285, 225315, 225330, 225335;27;6;6;FALSE;2018;FALSE;FALSE
CBO;221105, 221205, 223240, 223405, 223415, 223605, 223810, 223905, 225109, 225112, 225120, 225121, 225122, 225125, 225160, 225185, 225210, 225225, 225230, 225265, 225270, 225275, 225285, 225315, 225330, 225335;26;6;6;FALSE;2019;FALSE;FALSE
CEP;NA;0;;;TRUE;2008;FALSE;FALSE
CEP;NA;0;;;TRUE;2009;FALSE;FALSE
CEP;NA;0;;;TRUE;2010;FALSE;FALSE
CEP;NA;0;;;TRUE;2011;FALSE;FALSE
CEP;NA;0;;;TRUE;2012;FALSE;FALSE
CEP;NA;0;;;TRUE;2013;FALSE;FALSE
CEP;NA;0;;;TRUE;2014;FALSE;FALSE
CEP;NA;0;;;TRUE;2015;FALSE;FALSE
CEP;NA;0;;;TRUE;2016;FALSE;FALSE
CEP;NA;0;;;TRUE;2017;FALSE;FALSE
CEP;NA;0;;;TRUE;2018;FALSE;FALSE
CEP;NA;0;;;TRUE;2019;FALSE;FALSE
CNES;;74;7;7;FALSE;2008;FALSE;FALSE
CNES;;72;7;7;FALSE;2009;FALSE;FALSE
CNES;;77;7;7;FALSE;2010;FALSE;FALSE
CNES;;79;7;7;FALSE;2011;FALSE;FALSE
CNES;;86;7;7;FALSE;2012;FALSE;FALSE
CNES;;43;7;7;FALSE;2013;FALSE;FALSE
