"VARIAVEL";"MIN";"MAX";"CLASSE";"REFERENCIA.INF";"REFERENCIA.SUP";"FORMATO";"DIGITOS";"TIPO";"POSITIVO";"INTEIRO";"RM.ZEROS";"RM.WHITESPACE";"IGNORADOS"
"cbo";6;6;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;""
"cnes";7;7;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;""
"cns_medico";32;32;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;""
"cns_paciente";15;15;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;""
"co_bpi_mvm";1;6;"character";190001;201909;"%Y%m";NA;"";NA;NA;FALSE;TRUE;""
"co_bpi_tpfin";1;1;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"co_carater_atendimento";1;2;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"co_cid_principal";1;4;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"co_municipio";6;6;"character";NA;NA;"";6;"";NA;NA;TRUE;TRUE;""
"co_origem";1;3;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"co_procedimento_realizado";1;10;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;""
"co_rms";1;4;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"competencia";6;6;"character";200801;201909;"%Y%m";NA;"";NA;NA;FALSE;TRUE;""
"condicao";1;2;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"desc_cbo";1;200;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"ds_tp_financiamento";1;4;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"dt_atendimento";8;8;"character";19000101;20190930;"%Y%m%d";NA;"";NA;NA;FALSE;TRUE;""
"dt_nascimento";8;8;"character";19000101;20190930;"%Y%m%d";NA;"";NA;NA;FALSE;TRUE;""
"folha";1;3;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"gestor";6;6;"character";NA;NA;"";6;"";NA;NA;FALSE;TRUE;""
"id_paciente";1;30;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;""
"idade";1;3;"numeric";NA;NA;"";NA;"";TRUE;TRUE;FALSE;TRUE;""
"municipio_paciente";6;6;"character";NA;NA;"";6;"";NA;NA;TRUE;TRUE;""
"no_carater_atendimento";1;255;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"no_cid_principal";1;100;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"no_fantasia";1;35;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"no_municipio";1;60;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"no_municipio_paciente";1;60;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;"MUNICIPIO IGNORADO – PE, MUNICIPIO IGNORADO – PB,  MUNICIPIO IGNORADO – MG, MUNICIPIO IGNORADO – BA, MUNICIPIO IGNORADO – CE, MUNICIPIO IGNORADO – AL, MUNICIPIO IGNORADO – RJ, MUNICIPIO IGNORADO – SP, MUNICIPIO IGNORADO – RO, MUNICIPIO IGNORADO – SE"
"no_paciente";1;30;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"no_procedimento_realizado";1;250;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"no_razao_social";1;35;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"nu_autorizacao";1;13;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"qt_realizado";1;8;"numeric";NA;NA;"";NA;"";TRUE;TRUE;FALSE;TRUE;""
"remessa";1;21;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"sequencial";1;2;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"sexo";1;1;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;""
"uf";2;2;"character";NA;NA;"";NA;"S";NA;NA;FALSE;TRUE;""
"uf_paciente";2;2;"character";NA;NA;"";NA;"S";NA;NA;FALSE;TRUE;""
"valor";1;12;"numeric";NA;NA;"";NA;"";TRUE;FALSE;FALSE;TRUE;""
