ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2008;19446989;19446989;19446989;19446989;19446989;19419039
2009;25075742;25075742;25075742;25075742;25075742;25044334
2010;37453086;37453086;37453086;37453086;37453086;37422302
2011;50743108;50743108;50743108;50743108;50743108;50697508
2012;37608644;37608644;37608644;37608644;37608644;37566770
2013;39854101;39854101;39854101;39854101;39854101;39818758
2014;46059504;46059504;46059504;46059504;46059504;46021780
2015;41994448;41994448;41994448;41994448;41994448;41942249
2016;47884184;47884184;47884184;47881499;47881499;47825670
2017;69708921;69708921;69708921;69699903;69699903;69624761
2018;98749633;98749633;98749633;98738281;98738281;98664185
2019;78483758;78483758;78483758;78475632;78475632;78420279
