variavel;total;nao.nulo;conformes;acurados
CBO;16435411;16435411;16435411;16435411
CNES;16435411;16435411;16435411;16435411
CNS_MEDICO;16435411;16435411;16435411;16435411
CNS_PACIENTE;16435411;0;0;0
CO_BPI_MVM;16435411;16435411;16435411;16435411
CO_BPI_TPFIN;16435411;16435411;16435411;16435411
CO_CARATER_ATENDIMENTO;16435411;16435411;16435411;16435371
CO_CID_PRINCIPAL;16435411;16435411;16435411;16435406
CO_MUNICIPIO;16435411;16435411;16435411;16435411
CO_ORIGEM;16435411;16435411;16435411;16435411
CO_PROCEDIMENTO_REALIZADO;16435411;16435411;16435411;16435411
CO_RMS;16435411;16435411;16435411;16435411
COMPETENCIA;16435411;16435411;16435411;16435411
CONDICAO;16435411;16435411;16435411;16435411
DESC_CBO;16435411;16435114;16435114;16435114
DS_TP_FINANCIAMENTO;16435411;16435411;16435411;16435411
DT_ATENDIMENTO;16435411;16435411;16404230;16404230
DT_NASCIMENTO;16435411;16435411;16435411;16434600
FOLHA;16435411;16435411;16435411;16435382
GESTOR;16435411;16435411;16435411;15874631
ID_PACIENTE;16435411;15819540;15819540;15819540
IDADE;16435411;16435411;16435411;16435411
MUNICIPIO_PACIENTE;16435411;16435411;16435411;16435158
NO_CARATER_ATENDIMENTO;16435411;15862804;15862804;15862804
NO_CID_PRINCIPAL;16435411;8679890;8679890;8679890
NO_FANTASIA;16435411;16435411;16435411;16435411
NO_MUNICIPIO;16435411;16435411;16435411;16435411
NO_MUNICIPIO_PACIENTE;16435411;16435411;16435411;16435411
NO_PACIENTE;16435411;0;0;0
NO_PROCEDIMENTO_REALIZADO;16435411;16435411;16435411;16435411
NO_RAZAO_SOCIAL;16435411;16435411;16435411;16435411
NU_AUTORIZACAO;16435411;10332519;10332519;10331392
QT_REALIZADO;16435411;16435411;16435411;16435411
REMESSA;16435411;16435411;16435411;16435411
SEQUENCIAL;16435411;16435411;16435411;16435154
SEXO;16435411;16435411;16435411;16435411
UF;16435411;16435411;16435411;16435411
UF_PACIENTE;16435411;16435411;16435411;16435411
VALOR;16435411;16434510;16434510;16434510
