variavel;dominio;distinct;nchar_min;nchar_max;null;ano;mud_dom;mud_nchar
CBO;;57;6;6;FALSE;2008;FALSE;FALSE
CBO;;38;6;6;FALSE;2009;FALSE;FALSE
CBO;;38;6;6;FALSE;2010;FALSE;FALSE
CBO;;79;6;6;FALSE;2011;FALSE;FALSE
CBO;;59;6;6;FALSE;2012;FALSE;FALSE
CBO;;64;6;6;FALSE;2013;FALSE;FALSE
CBO;;71;6;6;FALSE;2014;FALSE;FALSE
CBO;;73;6;6;FALSE;2015;FALSE;FALSE
CBO;;84;6;6;FALSE;2016;FALSE;FALSE
CBO;;92;6;6;FALSE;2017;FALSE;FALSE
CBO;;86;6;6;FALSE;2018;FALSE;FALSE
CBO;;90;6;6;FALSE;2019;FALSE;FALSE
CNES;;242;7;7;FALSE;2008;FALSE;FALSE
CNES;;271;7;7;FALSE;2009;FALSE;FALSE
CNES;;346;7;7;FALSE;2010;FALSE;FALSE
CNES;;375;7;7;FALSE;2011;FALSE;FALSE
CNES;;433;7;7;FALSE;2012;FALSE;FALSE
CNES;;503;7;7;FALSE;2013;FALSE;FALSE
CNES;;603;7;7;FALSE;2014;FALSE;FALSE
CNES;;687;7;7;FALSE;2015;FALSE;FALSE
CNES;;813;7;7;FALSE;2016;FALSE;FALSE
CNES;;983;7;7;FALSE;2017;FALSE;FALSE
CNES;;877;7;7;FALSE;2018;FALSE;FALSE
CNES;;982;7;7;FALSE;2019;FALSE;FALSE
CNS_MEDICO;;652;32;32;FALSE;2008;FALSE;FALSE
CNS_MEDICO;;960;32;32;FALSE;2009;FALSE;FALSE
CNS_MEDICO;;984;32;32;FALSE;2010;FALSE;FALSE
CNS_MEDICO;;1344;32;32;FALSE;2011;FALSE;FALSE
CNS_MEDICO;;1400;32;32;FALSE;2012;FALSE;FALSE
CNS_MEDICO;;1606;32;32;FALSE;2013;FALSE;FALSE
CNS_MEDICO;;1960;32;32;FALSE;2014;FALSE;FALSE
CNS_MEDICO;;2235;32;32;FALSE;2015;FALSE;FALSE
CNS_MEDICO;;2295;32;32;FALSE;2016;FALSE;FALSE
CNS_MEDICO;;4251;32;32;FALSE;2017;FALSE;FALSE
CNS_MEDICO;;3115;32;32;FALSE;2018;FALSE;FALSE
CNS_MEDICO;;3251;32;32;FALSE;2019;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2008;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2009;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2010;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2011;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2012;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2013;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2014;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2015;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2016;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2017;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2018;FALSE;FALSE
CNS_PACIENTE;NA;0;;;TRUE;2019;FALSE;FALSE
CO_BPI_MVM;200801, 200802, 200803, 200804, 200805, 200806, 200807, 200808, 200809, 200810, 200811, 200812;12;6;6;FALSE;2008;FALSE;FALSE
CO_BPI_MVM;200901, 200902, 200903, 200904, 200905, 200906, 200907, 200908, 200909, 200910, 200911, 200912;12;6;6;FALSE;2009;FALSE;FALSE
CO_BPI_MVM;201001, 201002, 201003, 201004, 201005, 201006, 201007, 201008, 201009, 201010, 201011, 201012;12;6;6;FALSE;2010;FALSE;FALSE
CO_BPI_MVM;201101, 201102, 201103, 201104, 201105, 201106, 201107, 201108, 201109, 201110, 201111, 201112;12;6;6;FALSE;2011;FALSE;FALSE
CO_BPI_MVM;201201, 201202, 201203, 201204, 201205, 201206, 201207, 201208, 201209, 201210, 201211, 201212;12;6;6;FALSE;2012;FALSE;FALSE
CO_BPI_MVM;201301, 201302, 201303, 201304, 201305, 201306, 201307, 201308, 201309, 201310, 201311, 201312;12;6;6;FALSE;2013;FALSE;FALSE
CO_BPI_MVM;201401, 201402, 201403, 201404, 201405, 201406, 201407, 201408, 201409, 201410, 201411, 201412;12;6;6;FALSE;2014;FALSE;FALSE
CO_BPI_MVM;201501, 201502, 201503, 201504, 201505, 201506, 201507, 201508, 201509, 201510, 201511, 201512;12;6;6;FALSE;2015;FALSE;FALSE
CO_BPI_MVM;201601, 201602, 201603, 201604, 201605, 201606, 201607, 201608, 201609, 201610, 201611, 201612;12;6;6;FALSE;2016;FALSE;FALSE
CO_BPI_MVM;201701, 201702, 201703, 201704, 201705, 201706, 201707, 201708, 201709, 201710, 201711, 201712;12;6;6;FALSE;2017;FALSE;FALSE
CO_BPI_MVM;201801, 201802, 201803, 201804, 201805, 201806, 201807, 201808, 201809, 201810, 201811, 201812;12;6;6;FALSE;2018;FALSE;FALSE
CO_BPI_MVM;201901, 201902, 201903, 201904, 201905, 201906, 201907, 201908, 201909;9;6;6;FALSE;2019;FALSE;FALSE
CO_BPI_TPFIN;1;1;1;1;FALSE;2008;FALSE;FALSE
CO_BPI_TPFIN;1;1;1;1;FALSE;2009;FALSE;FALSE
CO_BPI_TPFIN;1;1;1;1;FALSE;2010;FALSE;FALSE
CO_BPI_TPFIN;1, 2;2;1;1;FALSE;2011;FALSE;FALSE
CO_BPI_TPFIN;1, 2, 3;3;1;1;FALSE;2012;FALSE;FALSE
CO_BPI_TPFIN;1, 2, 3;3;1;1;FALSE;2013;FALSE;FALSE
CO_BPI_TPFIN;1, 2, 3;3;1;1;FALSE;2014;FALSE;FALSE
CO_BPI_TPFIN;1, 2, 3;3;1;1;FALSE;2015;FALSE;FALSE
CO_BPI_TPFIN;1, 2, 3;3;1;1;FALSE;2016;FALSE;FALSE
CO_BPI_TPFIN;1, 2, 3;3;1;1;FALSE;2017;FALSE;FALSE
CO_BPI_TPFIN;1, 2, 3;3;1;1;FALSE;2018;FALSE;FALSE
CO_BPI_TPFIN;1, 2, 3;3;1;1;FALSE;2019;FALSE;FALSE
CO_CARATER_ATENDIMENTO;  , 00, 01, 02, 03, 04, 05, 06;8;2;2;FALSE;2008;FALSE;FALSE
CO_CARATER_ATENDIMENTO;  , 01, 02, 03, 04, 05, 06;7;2;2;FALSE;2009;FALSE;FALSE
CO_CARATER_ATENDIMENTO;  , 01, 02, 03, 04, 05, 06;7;2;2;FALSE;2010;FALSE;FALSE
CO_CARATER_ATENDIMENTO;  , 01, 02, 03, 04, 05, 06;7;2;2;FALSE;2011;FALSE;FALSE
CO_CARATER_ATENDIMENTO;  , 01, 02, 03, 04, 05, 06;7;2;2;FALSE;2012;FALSE;FALSE
CO_CARATER_ATENDIMENTO;01, 02, 03, 04, 05, 06;6;2;2;FALSE;2013;FALSE;FALSE
CO_CARATER_ATENDIMENTO;01, 02, 03, 04, 05, 06;6;2;2;FALSE;2014;FALSE;FALSE
CO_CARATER_ATENDIMENTO;01, 02, 03, 04, 05, 06;6;2;2;FALSE;2015;FALSE;FALSE
CO_CARATER_ATENDIMENTO;01, 02, 03, 04, 05, 06;6;2;2;FALSE;2016;FALSE;FALSE
CO_CARATER_ATENDIMENTO;01, 02, 03, 04, 05, 06;6;2;2;FALSE;2017;FALSE;FALSE
CO_CARATER_ATENDIMENTO;01, 02, 03, 04, 05, 06;6;2;2;FALSE;2018;FALSE;FALSE
CO_CARATER_ATENDIMENTO;01, 02, 03, 04, 05, 06;6;2;2;FALSE;2019;FALSE;FALSE
CO_CID_PRINCIPAL;;2777;4;4;FALSE;2008;FALSE;FALSE
CO_CID_PRINCIPAL;;2586;4;4;FALSE;2009;FALSE;FALSE
CO_CID_PRINCIPAL;;2558;4;4;FALSE;2010;FALSE;FALSE
CO_CID_PRINCIPAL;;3252;4;4;FALSE;2011;FALSE;FALSE
CO_CID_PRINCIPAL;;3009;4;4;FALSE;2012;FALSE;FALSE
CO_CID_PRINCIPAL;;2846;4;4;FALSE;2013;FALSE;FALSE
CO_CID_PRINCIPAL;;3126;4;4;FALSE;2014;FALSE;FALSE
CO_CID_PRINCIPAL;;2910;4;4;FALSE;2015;FALSE;FALSE
CO_CID_PRINCIPAL;;3221;1;4;FALSE;2016;FALSE;FALSE
CO_CID_PRINCIPAL;;4479;1;4;FALSE;2017;FALSE;FALSE
CO_CID_PRINCIPAL;;5603;1;4;FALSE;2018;FALSE;FALSE
CO_CID_PRINCIPAL;;5904;1;4;FALSE;2019;FALSE;FALSE
CO_MUNICIPIO;;88;6;6;FALSE;2008;FALSE;FALSE
CO_MUNICIPIO;;91;6;6;FALSE;2009;FALSE;FALSE
CO_MUNICIPIO;;95;6;6;FALSE;2010;FALSE;FALSE
CO_MUNICIPIO;;100;6;6;FALSE;2011;FALSE;FALSE
CO_MUNICIPIO;;97;6;6;FALSE;2012;FALSE;FALSE
CO_MUNICIPIO;;94;6;6;FALSE;2013;FALSE;FALSE
CO_MUNICIPIO;;97;6;6;FALSE;2014;FALSE;FALSE
CO_MUNICIPIO;;95;6;6;FALSE;2015;FALSE;FALSE
CO_MUNICIPIO;;96;6;6;FALSE;2016;FALSE;FALSE
CO_MUNICIPIO;;99;6;6;FALSE;2017;FALSE;FALSE
CO_MUNICIPIO;;99;6;6;FALSE;2018;FALSE;FALSE
CO_MUNICIPIO;;102;6;6;FALSE;2019;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL;3;3;3;FALSE;2008;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SMM;4;3;3;FALSE;2009;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SIB, SMM;5;3;3;FALSE;2010;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SIB, SMM;5;3;3;FALSE;2011;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SIB, SMM;5;3;3;FALSE;2012;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SCN, SIB, SMM;6;3;3;FALSE;2013;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SCN, SMM;5;3;3;FALSE;2014;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SCN, SMM;5;3;3;FALSE;2015;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SCN, SMM;5;3;3;FALSE;2016;FALSE;FALSE
CO_ORIGEM;BPA, EAB, EXT, SCL, SCN, SMM;6;3;3;FALSE;2017;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SCN;4;3;3;FALSE;2018;FALSE;FALSE
CO_ORIGEM;BPA, EXT, SCL, SCN;4;3;3;FALSE;2019;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;229;9;9;FALSE;2008;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;224;9;9;FALSE;2009;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;221;9;9;FALSE;2010;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;304;9;9;FALSE;2011;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;301;9;9;FALSE;2012;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;340;9;9;FALSE;2013;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;573;9;9;FALSE;2014;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;502;9;9;FALSE;2015;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;580;9;9;FALSE;2016;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;656;9;9;FALSE;2017;FALSE;FALSE
CO_PROCEDIMENTO_REALIZADO;;673;9;9;FALSE;2018;FALSE;FALSE
