variavel;dominio;distinct;nchar_min;nchar_max;null;ano;mud_dom;mud_nchar
CO_CBO;223505, 223605, 223710, 225125, 251510, 251605, 322205, 322230;8;6;6;FALSE;2012;FALSE;FALSE
CO_CBO;223505, 223605, 223710, 225125, 251510, 251605, 322205, 322230;8;6;6;FALSE;2013;FALSE;FALSE
CO_CBO;223405, 223505, 223605, 223710, 223810, 223905, 225125, 225142, 251510, 251605, 322205, 322230;12;6;6;FALSE;2014;FALSE;FALSE
CO_CBO;223208, 223405, 223505, 223605, 223710, 223810, 223905, 225125, 225142, 251510, 251605, 322205, 322230;13;6;6;FALSE;2015;FALSE;FALSE
CO_CBO;223208, 223505, 223605, 223710, 223810, 225125, 251510, 251605, 322205, 322230;10;6;6;FALSE;2016;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2012;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2013;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2014;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2015;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2016;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2012;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2013;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2014;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2015;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2016;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;43;4;4;FALSE;2012;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;95;4;4;FALSE;2013;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;215;4;4;FALSE;2014;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;177;4;4;FALSE;2015;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;62;4;4;FALSE;2016;FALSE;FALSE
CO_CID_PRINCIPAL;;83;4;4;FALSE;2012;FALSE;FALSE
CO_CID_PRINCIPAL;;218;4;4;FALSE;2013;FALSE;FALSE
CO_CID_PRINCIPAL;;391;4;4;FALSE;2014;FALSE;FALSE
CO_CID_PRINCIPAL;;427;4;4;FALSE;2015;FALSE;FALSE
CO_CID_PRINCIPAL;;154;4;4;FALSE;2016;FALSE;FALSE
CO_CID_PROCEDIMENTO;;125;6;6;FALSE;2012;FALSE;FALSE
CO_CID_PROCEDIMENTO;;279;6;6;FALSE;2013;FALSE;FALSE
CO_CID_PROCEDIMENTO;;510;6;6;FALSE;2014;FALSE;FALSE
CO_CID_PROCEDIMENTO;;553;6;6;FALSE;2015;FALSE;FALSE
CO_CID_PROCEDIMENTO;;168;6;6;FALSE;2016;FALSE;FALSE
