"VARIAVEL";"MIN";"MAX";"CLASSE";"REFERENCIA.INF";"REFERENCIA.SUP";"FORMATO";"DIGITOS";"TIPO";"POSITIVO";"INTEIRO";"RM.ZEROS";"RM.WHITESPACE";"IGNORADOS"
"co_autorizacao";1;13;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_cbo";6;6;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"co_celular";11;11;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"co_cep";8;8;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"co_cid_causas_assoc";1;4;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_cid_principal";1;4;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_cid_procedimento";1;6;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_classificacao";1;3;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_cnes_esf";7;7;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"co_cnes_executante";7;7;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"co_cns_medico";32;32;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"co_cns_paciente";15;15;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"co_cobertura_esf";1;1;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_etnia";1;4;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_gestor";6;6;"character";NA;NA;"";6;"";NA;NA;TRUE;TRUE;NA
"co_inst_registro";1;3;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_municipio";6;6;"character";NA;NA;"";6;"";NA;NA;TRUE;TRUE;NA
"co_nacionalidade";1;3;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_procedimento";1;10;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_raca";1;2;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_remessa";1;22;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_servico";1;3;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"co_telefone";11;11;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"ds_complemento";1;10;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_destino";1;22;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_local_realizacao";1;10;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_logradouro";1;30;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_mae";1;30;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_origem";1;6;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_paciente";1;30;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_prontuario";1;10;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_responsavel";1;30;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"ds_sexo";1;1;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"dt_competencia";6;6;"character";201301;201906;"%Y%m";NA;"";NA;NA;FALSE;TRUE;NA
"dt_fim";8;8;"character";19000101;20190630;"%Y%m%d";NA;"";NA;NA;FALSE;TRUE;NA
"dt_inicio";8;8;"character";19000101;20190630;"%Y%m%d";NA;"";NA;NA;FALSE;TRUE;NA
"dt_nascimento";8;8;"character";19000101;20190630;"%Y%m%d";NA;"";NA;NA;FALSE;TRUE;NA
"dt_realizacao";8;8;"character";19000101;20190630;"%Y%m%d";NA;"";NA;NA;FALSE;TRUE;NA
"flg_usuario_droga";1;1;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"id_paciente";1;30;"character";NA;NA;"";NA;"";NA;NA;TRUE;TRUE;NA
"no_cid_causas_associadas";1;100;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"no_cid_principal";1;100;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"no_fantasia";1;60;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"no_fantasia_esf";1;60;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"no_municipio";1;60;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"no_procedimento";1;250;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"no_razao_social";1;60;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"no_razao_social_esf";1;60;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
"qt_pprocedimento";1;12;"character";NA;NA;"";NA;"";TRUE;TRUE;FALSE;TRUE;NA
"sg_uf";2;2;"character";NA;NA;"";NA;"S";NA;NA;FALSE;TRUE;NA
"tp_droga";1;21;"character";NA;NA;"";NA;"";NA;NA;FALSE;TRUE;NA
