variavel;total;nao.nulo;conformes;acurados
CO_AUTORIZACAO;1473084;1282304;1282304;1282304
CO_CBO;1473084;1473084;1473084;1473084
CO_CELULAR;1473084;0;0;0
CO_CEP;1473084;0;0;0
CO_CID_CAUSAS_ASSOC;1473084;1473084;1473084;1473084
CO_CID_PRINCIPAL;1473084;1473084;1473084;1473084
CO_CID_PROCEDIMENTO;1473084;1473084;1473084;1473084
CO_CLASSIFICACAO;1473084;1473084;1473084;1473084
CO_CNES_ESF;1473084;1473084;1024158;702307
CO_CNES_EXECUTANTE;1473084;1473084;1473047;1473047
CO_CNS_MEDICO;1473084;1473084;1473084;1473084
CO_CNS_PACIENTE;1473084;0;0;0
CO_COBERTURA_ESF;1473084;1473084;1473084;1473084
CO_ETNIA;1473084;1473084;1473084;1473084
CO_GESTOR;1473084;1473084;1473084;1473084
CO_INST_REGISTRO;1473084;1473084;1473084;1473084
CO_MUNICIPIO;1473084;1473084;1473084;1473084
CO_NACIONALIDADE;1473084;1473084;1473084;1473084
CO_PROCEDIMENTO;1473084;1473084;1473084;1473084
CO_RACA;1473084;1473084;1473084;1473084
CO_REMESSA;1473084;1473084;1473084;1473084
CO_SERVICO;1473084;1473084;1473084;1473084
CO_TELEFONE;1473084;0;0;0
DS_COMPLEMENTO;1473084;0;0;0
DS_DESTINO;1473084;1473084;1472853;1472853
DS_LOCAL_REALIZACAO;1473084;1473084;1473084;1473084
DS_LOGRADOURO;1473084;0;0;0
DS_MAE;1473084;0;0;0
DS_ORIGEM;1473084;83404;83404;83404
DS_PACIENTE;1473084;0;0;0
DS_PRONTUARIO;1473084;1366120;1366120;1355415
DS_RESPONSAVEL;1473084;0;0;0
DS_SEXO;1473084;1473084;1473084;1473084
DT_COMPETENCIA;1473084;1473084;1473084;1473084
DT_FIM;1473084;1473084;676768;676768
DT_INICIO;1473084;1473084;1473084;1473084
DT_NASCIMENTO;1473084;1473084;1473084;1473079
DT_REALIZACAO;1473084;1473084;1473084;1473084
FLG_USUARIO_DROGA;1473084;1282304;1282304;1282304
ID_PACIENTE;1473084;1375443;1375443;1375443
NO_CID_CAUSAS_ASSOCIADAS;1473084;168615;168615;168615
NO_CID_PRINCIPAL;1473084;1473084;1473084;1473084
NO_FANTASIA;1473084;1473084;1473084;1473084
NO_FANTASIA_ESF;1473084;701978;701978;701978
NO_MUNICIPIO;1473084;1473084;1473084;1473084
NO_PROCEDIMENTO;1473084;1473084;1473084;1473084
NO_RAZAO_SOCIAL;1473084;1473084;1473084;1473084
NO_RAZAO_SOCIAL_ESF;1473084;701978;701978;701978
QT_PPROCEDIMENTO;1473084;1473084;1473084;1472702
SG_UF;1473084;1473084;1473084;1473084
TP_DROGA;1473084;1473084;1473084;1473084
