variavel;dominio;distinct;nchar_min;nchar_max;null;ano;mud_dom;mud_nchar
CO_AUTORIZACAO;             , NA;1;13;13;FALSE;2013;FALSE;FALSE
CO_AUTORIZACAO;             , NA;1;13;13;FALSE;2014;FALSE;FALSE
CO_AUTORIZACAO;             ;1;13;13;FALSE;2015;FALSE;FALSE
CO_AUTORIZACAO; ,              ;2;1;13;FALSE;2016;FALSE;FALSE
CO_AUTORIZACAO; ;1;1;1;FALSE;2017;FALSE;FALSE
CO_AUTORIZACAO;;35;1;13;FALSE;2018;FALSE;FALSE
CO_AUTORIZACAO;;43;1;13;FALSE;2019;FALSE;FALSE
CO_CBO;223505, 223810, 223905, 225112, 225124, 225125, 225133, 239415, 251510, 251605, 322205, 322230, 515305, 516220, 791115;15;6;6;FALSE;2013;FALSE;FALSE
CO_CBO;223505, 223810, 223905, 225112, 225124, 225125, 225133, 239415, 251510, 251605, 322205, 322230, 515305, 516220, 791115;15;6;6;FALSE;2014;FALSE;FALSE
CO_CBO;223505, 223810, 223905, 225112, 225124, 225125, 225133, 239415, 251510, 251605, 322205, 322230, 515305, 515310, 791115;15;6;6;FALSE;2015;FALSE;FALSE
CO_CBO;223505, 223565, 223605, 223810, 223905, 225112, 225124, 225125, 225133, 239415, 251510, 251605, 322205, 322230, 515305, 515310, 791115;17;6;6;FALSE;2016;FALSE;FALSE
CO_CBO;223505, 223605, 223810, 223905, 225112, 225124, 225125, 225127, 225133, 239415, 251510, 251605, 322205, 322230, 515305, 515310, 791115;17;6;6;FALSE;2017;FALSE;FALSE
CO_CBO;223405, 223505, 223605, 223810, 223905, 225124, 225125, 225127, 225133, 239415, 251510, 251605, 322205, 322230, 515305, 515310, 516220, 791115;18;6;6;FALSE;2018;FALSE;FALSE
CO_CBO;223405, 223505, 223605, 223810, 223905, 225124, 225125, 225133, 239415, 251510, 251605, 322205, 322230, 515305, 515310, 516220, 791115;17;6;6;FALSE;2019;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2013;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2014;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2015;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2016;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2017;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2018;FALSE;FALSE
CO_CELULAR;NA;0;;;TRUE;2019;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2013;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2014;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2015;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2016;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2017;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2018;FALSE;FALSE
CO_CEP;NA;0;;;TRUE;2019;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;183;4;4;FALSE;2013;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;175;4;4;FALSE;2014;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;202;4;4;FALSE;2015;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;220;1;4;FALSE;2016;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;225;1;4;FALSE;2017;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;249;1;4;FALSE;2018;FALSE;FALSE
CO_CID_CAUSAS_ASSOC;;244;1;4;FALSE;2019;FALSE;FALSE
CO_CID_PRINCIPAL;;292;4;4;FALSE;2013;FALSE;FALSE
CO_CID_PRINCIPAL;;278;4;4;FALSE;2014;FALSE;FALSE
CO_CID_PRINCIPAL;;296;4;4;FALSE;2015;FALSE;FALSE
CO_CID_PRINCIPAL;;318;4;4;FALSE;2016;FALSE;FALSE
CO_CID_PRINCIPAL;;330;4;4;FALSE;2017;FALSE;FALSE
CO_CID_PRINCIPAL;;365;4;4;FALSE;2018;FALSE;FALSE
CO_CID_PRINCIPAL;;323;4;4;FALSE;2019;FALSE;FALSE
CO_CID_PROCEDIMENTO;      ;1;6;6;FALSE;2013;FALSE;FALSE
CO_CID_PROCEDIMENTO;      ;1;6;6;FALSE;2014;FALSE;FALSE
CO_CID_PROCEDIMENTO;      ;1;6;6;FALSE;2015;FALSE;FALSE
CO_CID_PROCEDIMENTO; ,       ;2;1;6;FALSE;2016;FALSE;FALSE
CO_CID_PROCEDIMENTO; ;1;1;1;FALSE;2017;FALSE;FALSE
CO_CID_PROCEDIMENTO; ;1;1;1;FALSE;2018;FALSE;FALSE
CO_CID_PROCEDIMENTO; ;1;1;1;FALSE;2019;FALSE;FALSE
CO_CLASSIFICACAO;2;1;1;1;FALSE;2013;FALSE;FALSE
CO_CLASSIFICACAO;2;1;1;1;FALSE;2014;FALSE;FALSE
CO_CLASSIFICACAO;2;1;1;1;FALSE;2015;FALSE;FALSE
CO_CLASSIFICACAO;2;1;1;1;FALSE;2016;FALSE;FALSE
CO_CLASSIFICACAO;2;1;1;1;FALSE;2017;FALSE;FALSE
CO_CLASSIFICACAO;2, 5, 7;3;1;1;FALSE;2018;FALSE;FALSE
CO_CLASSIFICACAO;2, 7;2;1;1;FALSE;2019;FALSE;FALSE
CO_CNES_ESF;;309;7;7;FALSE;2013;FALSE;FALSE
CO_CNES_ESF;;313;7;7;FALSE;2014;FALSE;FALSE
CO_CNES_ESF;;303;7;7;FALSE;2015;FALSE;FALSE
CO_CNES_ESF;;309;1;7;FALSE;2016;FALSE;FALSE
CO_CNES_ESF;;323;1;7;FALSE;2017;FALSE;FALSE
