ano;T1;t1;T2;t2;T3;t3;T4;t4;T5;t5;T6;t6;T7;t7;T8;t8;T9;t9;T10;t10;T11;t11;T12;t12;T13;t13;T14;t14;T15;t15;T16;t16;T17;t17;T18;t18;T19;t19
2006;;;15247;8;183;0;;;2096;0;13465;0;15257;0;1771;0;8677;0;740;0;740;0;226;0;0;0;4530;0;4530;0;15233;0;707;0;15233;0;1771;0
2007;;;16277;7;550;0;;;1973;0;14853;0;16365;0;1173;0;9054;0;767;0;767;0;570;0;0;0;5798;0;5798;0;16310;0;704;0;16310;0;1173;0
2008;;;16105;9;668;0;;;1604;1;14906;1;;;1496;0;9004;0;737;0;737;0;698;0;0;0;8288;0;8288;0;16148;0;654;0;16148;0;1496;0
2009;6220;14;16575;10;728;0;;;1159;0;15682;3;16844;1;1591;0;9686;1;815;0;815;0;758;0;5;0;10668;0;10668;0;16820;0;630;0;16820;0;1592;0
2010;17508;15;17273;3;1112;1;17511;15;1029;0;16492;5;17499;11;1532;0;10197;0;681;0;681;0;1144;0;518;0;12472;0;12472;0;17494;0;561;0;17494;0;1532;0
2011;18510;4;18506;2;1039;0;18510;4;491;0;17720;2;18510;0;1285;0;10825;0;626;0;626;0;1043;0;5756;0;15795;0;15795;0;18471;0;527;0;18471;0;1285;0
2012;18131;15;17954;19;1258;1;18150;15;358;0;17519;1;18150;0;1304;0;10685;0;612;0;612;0;1258;0;5310;0;14576;0;14576;0;18091;0;548;0;18091;0;1304;0
2013;19046;19;18801;37;1148;0;;;192;0;18631;0;19046;0;1278;0;11227;0;628;0;628;0;1152;0;5401;0;10352;0;10352;0;19015;0;532;0;19015;0;1278;0
2014;18822;2;18619;2;994;3;18822;2;145;0;18485;2;18822;0;1212;0;11491;0;613;0;613;0;994;0;4901;0;13775;0;13775;0;18803;0;491;0;18803;0;1212;0
2015;20212;5;20180;2;921;0;20242;5;147;0;19955;1;20212;0;1711;0;12788;0;585;0;585;0;921;0;5112;0;10852;0;10852;0;19560;0;945;0;19560;0;1711;0
2016;20514;4;20456;4;898;0;20533;4;102;0;20371;3;20514;0;1816;1;12969;0;532;0;532;0;898;0;4754;0;13175;0;13175;0;20513;0;441;0;20513;0;1816;0
2017;;;20891;2;1083;0;20991;0;73;0;20857;2;20991;0;3043;0;13416;0;549;0;549;0;1100;0;4267;0;12955;0;12955;0;20410;0;912;0;20410;0;3043;0
2018;;;16516;3;734;0;16519;6;48;0;16420;0;16519;0;2233;0;10927;0;482;0;482;0;764;0;2761;0;10325;0;10325;0;15984;0;773;0;15984;0;2233;0
