ano;total;nao.nulo;nao.nulo_conformes;conformes;conformes_acurados;acurados
2006;886497;886497;886497;828613;828613;823158
2007;1000631;1000631;1000631;937395;937395;932155
2008;899651;899651;899651;836423;836423;829543
2009;925405;925405;925405;859232;859232;851200
2010;956990;956990;956990;888124;888124;876095
2011;920894;920894;920894;857430;857430;847120
2012;911075;911075;911075;848000;848000;836497
2013;929671;929671;929671;868090;868090;852856
2014;993475;993475;993475;928517;928517;913749
2015;997904;997904;997904;949082;949082;929513
2016;1065520;1065520;1065520;1000348;1000348;976422
2017;1088303;1088303;1088303;1009646;1009646;984830
2018;856177;856177;856177;793771;793771;772062
