variavel;total;nao.nulo;conformes;acurados
ACIDTRAB;235022;2145;2145;2145
ALTCAUSA;235022;3953;3953;3953
ALTERADN;235022;0;0;0
ALTERADO;235022;0;0;0
ALTERBLOCV;235022;0;0;0
ASSISTMED;235022;147235;147235;147235
ATESTADO;235022;234782;234782;234782
ATESTANTE;235022;201637;201637;201637
BAIOCOR;235022;180998;180998;180982
BAIRES;235022;131697;131697;131679
BASICA;235022;0;0;0
CAUSABAS;235022;235022;0;0
CAUSABAS_D;235022;13941;13941;13941
CAUSABAS_F;235022;15257;15257;15257
CAUSABAS_O;235022;234925;45073;45073
CAUSABAS_R;235022;79824;47998;47998
CAUSAMAT;235022;1;1;1
CB_F;235022;49388;49388;49388
CB_ORIG;235022;33;33;33
CB_PRE;235022;82080;49650;49650
CBCB;235022;16850;16850;16850
CEPACID;235022;0;0;0
CEPOCOR;235022;0;0;0
CEPRES;235022;0;0;0
CIRCOBITO;235022;40334;40334;39715
CIRURGIA;235022;45327;45327;42668
CO_ID_DO;235022;235022;235022;235022
CODBAIOCOR;235022;31784;31784;18733
CODBAIRES;235022;112185;112185;70871
CODCART;235022;9329;9329;9329
CODDISOCOR;235022;0;0;0
CODDISRES;235022;0;0;0
CODENDACID;235022;0;0;0
CODENDOCOR;235022;0;0;0
CODENDRES;235022;0;0;0
CODESTAB;235022;140946;140527;140527
CODESTCART;235022;9115;9115;9115
CODESTOCOR;235022;47795;47795;47795
CODESTRES;235022;47795;47795;47795
CODIFICADO;235022;235022;235022;235022
CODINST;235022;235022;235022;235022
CODMUNCART;235022;14718;14718;14718
CODMUNNATU;235022;115484;115484;112592
CODMUNOCOR;235022;235022;235022;235021
CODMUNRES;235022;235022;235022;234999
CODPAISRES;235022;233048;233048;233048
CODREGOCOR;235022;163420;163420;163420
CODREGRES;235022;200615;200615;200615
COMPARA_CB;235022;79824;79824;79824
COMPLACID;235022;0;0;0
COMPLOCOR;235022;0;0;0
COMPLRES;235022;0;0;0
COMUNSVOIM;235022;38785;38785;38784
COND_CB;235022;0;0;0
COND_MAT;235022;32;32;32
CONFCAUSA;235022;16365;16365;16365
CONFCIDADE;235022;0;0;0
CONFIDADE;235022;16360;16360;16360
CONFPESO;235022;0;0;0
CONTATO;235022;32333;32333;32330
CRITICA;235022;31622;31622;31622
CRM;235022;0;0;0
DESCACID;235022;0;0;0
DIFDATA;235022;203524;203524;203524
DSEVENTO;235022;3790;3790;3790
DSEXPLICA;235022;44271;44271;44271
DSTEMPO;235022;47795;47795;47795
DTATESTADO;235022;225356;225356;225356
DTCADASTRO;235022;233400;233400;233400
DTCADINF;235022;6238;6238;6238
DTCADINV;235022;8192;8192;8192
DTCONCASO;235022;1761;1761;1761
DTCONINV;235022;8116;8116;8116
DTENCOMITE;235022;11;11;11
DTINVESTIG;235022;21446;21446;21445
DTNASC;235022;232852;232852;232852
DTOBITO;235022;235022;235022;235022
DTRECEBIM;235022;218729;218729;218729
DTRECORIG;235022;138963;138963;138963
DTRECORIGA;235022;151278;151278;151278
DTREGCART;235022;9417;9417;9417
DTRESSELE;235022;81625;81625;81625
ENDACID;235022;759;759;755
ENDOCOR;235022;0;0;0
ENDRES;235022;0;0;0
ESC;235022;143561;130153;106005
ESC2010;235022;74794;74794;59306
ESCFALAGR1;235022;65316;65316;51031
ESCFALAGR2;235022;0;0;0
ESCMAE;235022;9339;8742;8019
ESCMAE2010;235022;5119;5119;4692
ESCMAEAGR1;235022;3589;3589;3264
ESCMAEAGR2;235022;0;0;0
ESTABDESCR;235022;0;0;0
ESTCIV;235022;182773;182773;167168
EXAME;235022;47277;47277;44100
EXPDIFDATA;235022;18131;18131;18128
EXPLICA_R;235022;46699;46699;46699
FONTE;235022;14198;14198;11240
FONTEINV;235022;20360;20360;20291
FONTES;235022;6679;6679;6679
FONTESINF;235022;18830;18830;18830
GESTACAO;235022;9296;8970;8970
GRAVIDEZ;235022;10348;10348;10279
HORAOBITO;235022;221411;221411;220262
ID_PACIENTE;235022;226103;226103;226103
IDADE;235022;233270;233270;233269
IDADEMAE;235022;9233;9233;9233
LINHAA;235022;232230;232230;232230
LINHAA_O;235022;212966;212966;212966
LINHAB;235022;187270;187270;187270
LINHAB_O;235022;168932;158;158
LINHAC;235022;110619;110619;110619
LINHAC_O;235022;99007;99007;99007
LINHAD;235022;51070;51070;51070
LINHAD_O;235022;45780;45780;45780
LINHAII;235022;58203;58203;58203
LINHAII_O;235022;51284;51284;51284
LOCOCOR;235022;235022;235022;234733
MEDICO;235022;0;0;0
MORTEPARTO;235022;6478;6478;6319
MUNCADINV;235022;0;0;0
NATURAL_;235022;142665;142665;142665
NECROPSIA;235022;157743;157743;153259
NOME;235022;0;0;0
NOMEMAE;235022;0;0;0
NOMEPAI;235022;0;0;0
NPROC;235022;1801;1801;1801
NRESSELE;235022;253;253;253
NUDIASINF;235022;640;640;640
NUDIASOBCO;235022;3803;3803;3803
NUDIASOBIN;235022;6863;6863;6863
NUMENDACID;235022;0;0;0
NUMENDOCOR;235022;0;0;0
NUMERODN;235022;0;0;0
NUMERODO;235022;235022;235022;235022
NUMERODV;235022;184010;184010;150614
NUMEROLOTE;235022;235022;235022;235022
NUMREGCART;235022;9281;9281;9280
NUMRES;235022;0;0;0
NUMSUS;235022;32668;31148;31148
OBITOEVITA;235022;0;0;0
OBITOGRAV;235022;11526;11526;10980
OBITOPARTO;235022;10016;10016;9807
OBITOPUERP;235022;11316;11316;10758
OCUP;235022;121042;0;0
OCUPMAE;235022;7813;7812;7812
OPOR_DO;235022;0;0;0
OPORTINV_I;235022;0;0;0
OPORTINV_M;235022;0;0;0
ORIGEM;235022;169797;169797;169797
PARTO;235022;10213;10213;10113
PESO;235022;9688;9688;9688
QTDFILMORT;235022;7093;7093;7093
QTDFILVIVO;235022;8188;8188;8188
RACACOR;235022;188504;188504;188504
REGRA;235022;0;0;0
RETROALIM;235022;31622;31622;31622
SEMAGESTAC;235022;5230;5230;5230
SERIESCFAL;235022;8519;8519;8519
SERIESCMAE;235022;1179;1179;1179
SEXO;235022;235022;235022;234796
STCAMPOALT;235022;29;29;29
STCODIFICA;235022;234944;234944;234944
STCOMITEMM;235022;29;29;29
STDOEPIDEM;235022;187179;187179;187179
STDONOVA;235022;187227;187227;187227
STPARECER;235022;11;11;11
STRESSELE;235022;81625;81625;81625
