variavel;dominio;distinct;nchar_min;nchar_max;null;ano;mud_dom;mud_nchar
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2006;TRUE;TRUE
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2007;FALSE;TRUE
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2008;FALSE;TRUE
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2009;FALSE;FALSE
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2010;FALSE;
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2011;FALSE;
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2012;FALSE;
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2013;FALSE;FALSE
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2014;FALSE;TRUE
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2015;FALSE;
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2016;FALSE;
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2017;FALSE;
ACIDTRAB;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2018;FALSE;
ALTCAUSA;NA;0;;;TRUE;2006;TRUE;TRUE
ALTCAUSA;NA;0;;;TRUE;2007;FALSE;TRUE
ALTCAUSA;NA;0;;;TRUE;2008;FALSE;TRUE
ALTCAUSA;NA;0;;;TRUE;2009;FALSE;FALSE
ALTCAUSA;NA;0;;;TRUE;2010;FALSE;
ALTCAUSA;NA;0;;;TRUE;2011;FALSE;
ALTCAUSA;NA;0;;;TRUE;2012;FALSE;
ALTCAUSA;NA;0;;;TRUE;2013;FALSE;FALSE
ALTCAUSA;1.0, 2.0, NA;2;3;3;FALSE;2014;TRUE;TRUE
ALTCAUSA;1.0, 2.0, NA;2;3;3;FALSE;2015;TRUE;
ALTCAUSA;1.0, 2.0, NA;2;3;3;FALSE;2016;TRUE;
ALTCAUSA;1.0, 2.0, NA;2;3;3;FALSE;2017;TRUE;
ALTCAUSA;1.0, 2.0, NA;2;3;3;FALSE;2018;TRUE;
ALTERADN;NA;0;;;TRUE;2006;TRUE;TRUE
ALTERADN;NA;0;;;TRUE;2007;FALSE;TRUE
ALTERADN;NA;0;;;TRUE;2008;FALSE;TRUE
ALTERADN;NA;0;;;TRUE;2009;FALSE;FALSE
ALTERADN;NA;0;;;TRUE;2010;FALSE;FALSE
ALTERADN;NA;0;;;TRUE;2011;FALSE;
ALTERADN;NA;0;;;TRUE;2012;FALSE;
ALTERADN;NA;0;;;TRUE;2013;FALSE;FALSE
ALTERADN;NA;0;;;TRUE;2014;FALSE;TRUE
ALTERADN;NA;0;;;TRUE;2015;FALSE;
ALTERADN;NA;0;;;TRUE;2016;FALSE;
ALTERADN;NA;0;;;TRUE;2017;FALSE;
ALTERADN;NA;0;;;TRUE;2018;FALSE;
ALTERADO;NA;0;;;TRUE;2006;TRUE;TRUE
ALTERADO;NA;0;;;TRUE;2007;FALSE;TRUE
ALTERADO;NA;0;;;TRUE;2008;FALSE;TRUE
ALTERADO;NA;0;;;TRUE;2009;FALSE;FALSE
ALTERADO;NA;0;;;TRUE;2010;FALSE;
ALTERADO;NA;0;;;TRUE;2011;FALSE;
ALTERADO;NA;0;;;TRUE;2012;FALSE;
ALTERADO;NA;0;;;TRUE;2013;FALSE;FALSE
ALTERADO;NA;0;;;TRUE;2014;FALSE;TRUE
ALTERADO;NA;0;;;TRUE;2015;FALSE;
ALTERADO;NA;0;;;TRUE;2016;FALSE;
ALTERADO;NA;0;;;TRUE;2017;FALSE;
ALTERADO;NA;0;;;TRUE;2018;FALSE;
ALTERBLOCV;NA;0;;;TRUE;2006;TRUE;TRUE
ALTERBLOCV;NA;0;;;TRUE;2007;FALSE;TRUE
ALTERBLOCV;NA;0;;;TRUE;2008;FALSE;TRUE
ALTERBLOCV;NA;0;;;TRUE;2009;FALSE;FALSE
ALTERBLOCV;NA;0;;;TRUE;2010;FALSE;
ALTERBLOCV;NA;0;;;TRUE;2011;FALSE;
ALTERBLOCV;NA;0;;;TRUE;2012;FALSE;FALSE
ALTERBLOCV;NA;0;;;TRUE;2013;FALSE;FALSE
ALTERBLOCV;NA;0;;;TRUE;2014;FALSE;TRUE
ALTERBLOCV;NA;0;;;TRUE;2015;FALSE;
ALTERBLOCV;NA;0;;;TRUE;2016;FALSE;
ALTERBLOCV;NA;0;;;TRUE;2017;FALSE;
ALTERBLOCV;NA;0;;;TRUE;2018;FALSE;
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2006;TRUE;TRUE
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2007;FALSE;TRUE
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2008;FALSE;TRUE
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2009;FALSE;FALSE
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2010;FALSE;
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2011;FALSE;
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2012;FALSE;FALSE
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2013;FALSE;
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2014;FALSE;
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2015;FALSE;
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2016;FALSE;
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2017;FALSE;
ASSISTMED;1.0, 2.0, 9.0, NA;3;3;3;FALSE;2018;FALSE;
ATESTADO;;7800;3;48;FALSE;2006;FALSE;FALSE
ATESTADO;;9046;3;39;FALSE;2007;FALSE;FALSE
ATESTADO;;8843;3;39;FALSE;2008;FALSE;FALSE
ATESTADO;;9548;3;43;FALSE;2009;FALSE;FALSE
ATESTADO;;9630;3;43;FALSE;2010;FALSE;FALSE
ATESTADO;;10580;2;40;FALSE;2011;FALSE;FALSE
ATESTADO;;10878;3;44;FALSE;2012;FALSE;FALSE
ATESTADO;;11694;2;43;FALSE;2013;FALSE;FALSE
ATESTADO;;11948;3;43;FALSE;2014;FALSE;FALSE
ATESTADO;;13043;3;38;FALSE;2015;FALSE;FALSE
ATESTADO;;13183;3;48;FALSE;2016;FALSE;FALSE
ATESTADO;;13802;3;57;FALSE;2017;FALSE;FALSE
ATESTADO;;11634;3;53;FALSE;2018;FALSE;FALSE
ATESTANTE;1.0, 2.0, 3.0, 4.0, 5.0, NA;5;3;3;FALSE;2006;TRUE;TRUE
ATESTANTE;1.0, 2.0, 3.0, 4.0, 5.0, NA;5;3;3;FALSE;2007;FALSE;TRUE
ATESTANTE;1.0, 2.0, 3.0, 4.0, 5.0, NA;5;3;3;FALSE;2008;FALSE;TRUE
ATESTANTE;1.0, 2.0, 3.0, 4.0, 5.0, NA;5;3;3;FALSE;2009;FALSE;FALSE
ATESTANTE;1.0, 2.0, 3.0, 4.0, 5.0, NA;5;3;3;FALSE;2010;FALSE;
