variavel;dirty;clean;similaridade
BAIOCOR;BAIRRO ELDORADO;IGNORADO;0,644751564217031
BAIOCOR;ELDORADO;IGNORADO;0,644751564217031
BAIOCOR;SITIO AROEIRA ALTA;FALTANTE;0,577350269189626
BAIOCOR;ROCHA CAVALCANTE;FALTANTE;0,577350269189626
BAIOCOR;POV PALMEIRA ALTA;FALTANTE;0,577350269189626
BAIOCOR;T CAVALCANTE;FALTANTE;0,577350269189626
BAIOCOR;SITIO INGA/ SAO BENT;NAO INFORMADO;0,558423503278856
BAIOCOR;POVOADO PORANGABA;IGNORADO;0,526083446420907
BAIOCOR;CONJUNTO RESIDENCIAL;DESCONSIDERADO;0,521216370831109
BAIOCOR;POVOADO GIRRAU DO IN;NAO INFORMADO;0,495273949551171
BAIOCOR;POVOADO GIRAU DO INT;NAO INFORMADO;0,495273949551171
BAIOCOR;VILA APARECIDA;DESCONHECIDO;0,483174103260413
BAIOCOR;V. APARECIDA/B. DO C;DESCONHECIDO;0,483174103260413
BAIOCOR;FERNAO VELHO;NAO INFORMADO;0,479428329270591
BAIOCOR;JOAO PAULO II;NAO INFORMADO;0,479428329270591
BAIOCOR;JARDIM DE MARIA;SEM DEFINICAO;0,471571372039966
BAIOCOR;TENORIO CAVALCANTE;FALTANTE;0,471404520791032
BAIOCOR;CIDADE ALTA;FALTANTE;0,471404520791032
BAIOCOR;SITIO POCO DE SANTAN;FALTANTE;0,471404520791032
BAIOCOR;MATADOURO;REJEITADO;0,470432425577825
BAIOCOR;GIRADOR;IGNORADO;0,470041954950561
BAIOCOR;PRADO;IGNORADO;0,470041954950561
BAIOCOR;SITIO MACARIMRA;SEM INFORMACAO;0,46076627457424
BAIOCOR;SITIO INGAZEIRA;NAO INFORMADO;0,443746602872219
BAIOCOR;JACINTINHO INSTITUTO;NAO INFORMADO;0,443746602872219
BAIOCOR;POV PORANGABA;IGNORADO;0,441322036778772
BAIOCOR;NOSSA SENHORA DAS GR;IGNORADO;0,441322036778772
BAIOCOR;PEDRO TENORIO RAPOSO;IGNORADO;0,441322036778772
BAIOCOR;NOSSA SENHORA DAS DO;IGNORADO;0,441322036778772
BAIOCOR;NOSSA SENHORA DA SAU;IGNORADO;0,441322036778772
BAIOCOR;SITIO BAIXA DA HORA;IGNORADO;0,441322036778772
BAIOCOR;N SENHORA DAS DORES;IGNORADO;0,441322036778772
BAIOCOR;SITIO ESPORAO;IGNORADO;0,441322036778772
BAIOCOR;RODOVIA 101 NORTE;IGNORADO;0,441322036778772
BAIOCOR;PORANGABA;IGNORADO;0,441322036778772
BAIOCOR;AL NORTE;IGNORADO;0,441322036778772
BAIOCOR;BAIRRO NOSSA SENHORA;IGNORADO;0,441322036778772
BAIOCOR;AL 101 NORTE;IGNORADO;0,441322036778772
BAIOCOR;SITIO PASSAGEM DO ME;SEM DEFINICAO;0,436474404157332
BAIOCOR;ABOLICAO;SEM DEFINICAO;0,436474404157332
BAIOCOR;SITIO VIRACAO;SEM INFORMACAO;0,426473482223048
BAIOCOR;SUBSTACAO;SEM INFORMACAO;0,426473482223048
BAIOCOR;LOTACAO;SEM INFORMACAO;0,426473482223048
BAIOCOR;CONJUNTO ANTENOR MAR;FALTANTE;0,423711161336428
BAIOCOR;D CONSTANTINO;FALTANTE;0,423711161336428
BAIOCOR;DOM CONSTANTINO;FALTANTE;0,423711161336428
BAIOCOR;CONJ NOVA ESPERANCA;DESCONSIDERADO;0,414180263831401
BAIOCOR;CONJUNTO NOVA ESPERA;DESCONSIDERADO;0,414180263831401
BAIOCOR;POV SANTO ANTONIO;FALTANTE;0,408248290463863
BAIOCOR;ALTO DAS COLINAS;FALTANTE;0,408248290463863
BAIOCOR;SITIO TANQUINHOS;FALTANTE;0,408248290463863
BAIOCOR;ENTRE MONTES;FALTANTE;0,408248290463863
BAIOCOR;BENEDITO BENTES I;FALTANTE;0,408248290463863
BAIOCOR;CASA SANTA EDWIRGES;FALTANTE;0,408248290463863
BAIOCOR;ALTO CRUZEIRO;FALTANTE;0,408248290463863
BAIOCOR;ALTO DA COHAB;FALTANTE;0,408248290463863
BAIOCOR;ANTONIO JANUARIO;FALTANTE;0,408248290463863
BAIOCOR;SITIO ALTO BONITO;FALTANTE;0,408248290463863
BAIOCOR;ALTO;FALTANTE;0,408248290463863
BAIOCOR;ALTO DA CILA;FALTANTE;0,408248290463863
BAIOCOR;SANTA ANA;FALTANTE;0,408248290463863
BAIOCOR;ALTO ZEFERINO;FALTANTE;0,408248290463863
BAIOCOR;ALTO DO SOL;FALTANTE;0,408248290463863
BAIOCOR;SANTA TEREZINHA;FALTANTE;0,408248290463863
BAIOCOR;ALTO DA SERRA;FALTANTE;0,408248290463863
BAIOCOR;RUA DO ALTO;FALTANTE;0,408248290463863
BAIOCOR;ANTENOR MARINHO DE M;FALTANTE;0,408248290463863
BAIOCOR;POV ALTO DO GARROTE;FALTANTE;0,408248290463863
BAIOCOR;SITIO ANTONIO;FALTANTE;0,408248290463863
BAIOCOR;SITIO SANTA CRUZ;FALTANTE;0,408248290463863
BAIOCOR;BELO HORIZONTE;FALTANTE;0,408248290463863
BAIOCOR;ASSENTAMENTO  ANTONI;FALTANTE;0,408248290463863
BAIOCOR;RUA ALTO DA BOA VIST;FALTANTE;0,408248290463863
BAIOCOR;CAPIATAN;FALTANTE;0,408248290463863
BAIOCOR;ALTO DA BOA VISTA -;FALTANTE;0,408248290463863
BAIOCOR;VILA ALTINA;FALTANTE;0,408248290463863
BAIOCOR;FAZENDA CASTANHA GRA;FALTANTE;0,408248290463863
BAIOCOR;ANTUNES;FALTANTE;0,408248290463863
BAIOCOR;SANTA CRUZ;FALTANTE;0,408248290463863
BAIOCOR;RODOVIA ALTEMAR DUTR;FALTANTE;0,408248290463863
BAIOCOR;B SANTA IZABEL;FALTANTE;0,408248290463863
BAIOCOR;FAZENDA SANTA ROSA;FALTANTE;0,408248290463863
BAIOCOR;SANTO  ANTONIO;FALTANTE;0,408248290463863
BAIOCOR;B BENTES II;FALTANTE;0,408248290463863
BAIOCOR;ALTO DA SAUDADE;FALTANTE;0,408248290463863
BAIOCOR;SANTO EDUARDO;FALTANTE;0,408248290463863
BAIOCOR;LOTEAMENTO SANTA MAR;FALTANTE;0,408248290463863
BAIOCOR;SITIO ALTO DO BREU;FALTANTE;0,408248290463863
BAIOCOR;RUA EMILIO SANTA ROS;FALTANTE;0,408248290463863
BAIOCOR;SANTA EDWINGES;FALTANTE;0,408248290463863
BAIOCOR;CANTO DA SAUDADE;FALTANTE;0,408248290463863
BAIOCOR;SANTA L;FALTANTE;0,408248290463863
BAIOCOR;SANTA IZABEL;FALTANTE;0,408248290463863
BAIOCOR;SANTA MARIA;FALTANTE;0,408248290463863
BAIOCOR;ALTO DA COCADA;FALTANTE;0,408248290463863
BAIOCOR;POV ALTO DO TAMANDUA;FALTANTE;0,408248290463863
BAIOCOR;LOT SANTO ANTONIO;FALTANTE;0,408248290463863
BAIOCOR;SANTO AMORO;FALTANTE;0,408248290463863
BAIOCOR;ALTO DA FE;FALTANTE;0,408248290463863
BAIOCOR;POV SANTA MARAGARIDA;FALTANTE;0,408248290463863
BAIOCOR;ALTO DO CILO;FALTANTE;0,408248290463863
BAIOCOR;B SANTO ANTONIO;FALTANTE;0,408248290463863
BAIOCOR;BENEDITO BENTES 1;FALTANTE;0,408248290463863
BAIOCOR;ALTO DA ROSA;FALTANTE;0,408248290463863
BAIOCOR;SANTOS  DUMONT;FALTANTE;0,408248290463863
BAIOCOR;SITIO ALTO BONETO;FALTANTE;0,408248290463863
BAIOCOR;BBENTES II;FALTANTE;0,408248290463863
BAIOCOR;JARDIM PLANALTO;FALTANTE;0,408248290463863
BAIOCOR;ALTO DO CEMITERIO;FALTANTE;0,408248290463863
BAIOCOR;PINTANGUINHA;FALTANTE;0,408248290463863
BAIOCOR;ALTO DO SOCORRO;FALTANTE;0,408248290463863
BAIOCOR;SANTA LUCIA;FALTANTE;0,408248290463863
