variavel;dirty;clean;similaridade
CO_IDENT;NORMAL;NAO INFORMADO;0,310487778243971
CO_IDENT;DE LONGA PERMANENCIA;NAO INFORMADO;0,286330728541384
CO_MODALIDADE_INTERNACAO;02-HOSPITALAR;REJEITADO;0,394637386207887
CO_MODALIDADE_INTERNACAO;03-HOSPITALAR DIA;REJEITADO;0,394637386207887
COMPLEXIDADE;3-ALTA COMPLEXIDADE;FALTANTE;0,577350269189626
COMPLEXIDADE;0-NAO SE APLICA;NAO INFORMADO;0,39145159164933
DESC_ESPECIALIDADE;LEITO DIA / INTERCORRENCIA POS-TRANSPLANTE;FALTANTE;0,472688614790952
DESC_ESPECIALIDADE;CLINICO;SEM DEFINICAO;0,436474404157332
DESC_ESPECIALIDADE;SAUDE MENTAL (CLINICO);SEM DEFINICAO;0,436474404157332
DESC_ESPECIALIDADE;PNEUMOLOGIA SANITARIA (TISIOLOGIA);REJEITADO;0,394637386207887
DESC_ESPECIALIDADE;LEITO DIA / AIDS;REJEITADO;0,394637386207887
DESC_ESPECIALIDADE;LEITO DIA / CIRURGICOS;REJEITADO;0,394637386207887
DESC_ESPECIALIDADE;CRONICOS;SEM DEFINICAO;0,333451314982904
DESC_PROCEDIMENTO_SECUNDARIO;DOSAGEM DE GONADOTROFINA CORIONICA HUMANA (HCG, BETA HCG);SEM DEFINICAO;0,748302952571525
DESC_PROCEDIMENTO_SECUNDARIO;ELETRODO EPICARDICO DEFINITIVO;SEM DEFINICAO;0,734615588597421
DESC_PROCEDIMENTO_SECUNDARIO;TRANSPLANTE MUSCULO-CUTANEO C/ MICRO-ANASTOMOSE NO TRONCO / EXTREMIDADE;FALTANTE;0,707106781186548
DESC_PROCEDIMENTO_SECUNDARIO;EXODONTIA MULTIPLA COM ALVEOLOPLASTIA POR SEXTANTE;FALTANTE;0,707106781186548
DESC_PROCEDIMENTO_SECUNDARIO;GENGIVECTOMIA (POR SEXTANTE);FALTANTE;0,707106781186548
DESC_PROCEDIMENTO_SECUNDARIO;GENGIVOPLASTIA (POR SEXTANTE);FALTANTE;0,707106781186548
DESC_PROCEDIMENTO_SECUNDARIO;TRATAMENTO CIRURGICO PERIODONTAL (POR SEXTANTE);FALTANTE;0,707106781186548
DESC_PROCEDIMENTO_SECUNDARIO;CARGA P/ GRAMPEADOR LINEAR CORTANTE;FALTANTE;0,662168120819722
DESC_PROCEDIMENTO_SECUNDARIO;GRAMPEADOR LINEAR CORTANTE;FALTANTE;0,662168120819722
DESC_PROCEDIMENTO_SECUNDARIO;ELETRODO ENDOCARDICO DEFINITIVO;SEM DEFINICAO;0,654576415360733
DESC_PROCEDIMENTO_SECUNDARIO;MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL;SEM INFORMACAO;0,653601633883633
DESC_PROCEDIMENTO_SECUNDARIO;TRATAMENTO CIRURGICO DE RINITE CRONICA (OZENA);SEM DEFINICAO;0,642564755034194
DESC_PROCEDIMENTO_SECUNDARIO;DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP);SEM DEFINICAO;0,642564755034194
DESC_PROCEDIMENTO_SECUNDARIO;DRENAGEM DE ABSCESSO SUBFRENICO;SEM DEFINICAO;0,642564755034194
DESC_PROCEDIMENTO_SECUNDARIO;DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO);SEM DEFINICAO;0,642564755034194
DESC_PROCEDIMENTO_SECUNDARIO;BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO);SEM DEFINICAO;0,642564755034194
DESC_PROCEDIMENTO_SECUNDARIO;RASPAGEM ALISAMENTO E POLIMENTO SUPRAGENGIVAIS (POR SEXTANTE);FALTANTE;0,635566742004642
DESC_PROCEDIMENTO_SECUNDARIO;SURFACTANTE FRASCO-AMPOLA;FALTANTE;0,635566742004642
DESC_PROCEDIMENTO_SECUNDARIO;RASPAGEM ALISAMENTO SUBGENGIVAIS (POR SEXTANTE);FALTANTE;0,635566742004642
DESC_PROCEDIMENTO_SECUNDARIO;AVALIACAO CLINICA DE MORTE ENCEFALICA EM MAIOR DE 2 ANOS;SEM DEFINICAO;0,633157518957867
DESC_PROCEDIMENTO_SECUNDARIO;DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA;SEM DEFINICAO;0,623364848465981
